Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Tennessee,2016.0,-0.7,+11
2,Alabama,1997.0,-0.1,+47
3,UConn,1994.0,-1.6,+30
4,UCLA,1953.0,-0.4,+19
5,Auburn,1943.0,-0.4,-42
6,South Carolina,1933.0,-0.1,-73
7,Mississippi State,1930.0,-0.2,+78
8,Duke,1925.0,-0.4,+31
9,Michigan State,1914.0,-0.5,+13
10,Iowa State,1901.0,-0.2,+68
11,Oklahoma,1897.0,-0.4,-31
12,West Virginia,1887.0,-0.2,+54
13,Texas,1883.0,-0.0,-52
14,Oregon,1882.0,-0.0,+39
15,LSU,1881.0,-0.0,-18
16,Kentucky,1880.0,-0.1,+23
17,Ohio State,1877.0,-0.0,-8
18,USC,1877.0,-0.2,+15
19,Vanderbilt,1873.0,-0.3,+26
20,UNC,1865.0,-0.1,-25
21,Maryland,1863.0,-0.5,+20
22,TCU,1850.0,-0.2,+37
23,Iowa,1844.0,-0.5,-54
24,Georgia Tech,1832.0,-0.1,+76
25,Michigan,1829.0,-0.0,+18
26,Kansas State,1828.0,-0.0,+49
27,Baylor,1828.0,-0.1,-37
28,Illinois,1826.0,-0.1,-33
29,Florida State,1824.0,-0.0,+10
30,Marquette,1824.0,-0.0,+24
31,Texas A&M,1823.0,-0.2,+56
32,Indiana,1819.0,-0.2,-9
33,Nebraska,1814.0,-0.1,-12
34,Creighton,1811.0,-0.1,+1
35,Louisville,1809.0,-0.1,+67
36,Florida,1806.0,-0.0,-8
37,Kansas,1805.0,-0.1,-13
38,Notre Dame,1802.0,-0.5,-15
39,Ole Miss,1789.0,-0.2,+23
40,Clemson,1783.0,-0.3,+33
41,Wisconsin,1776.0,-0.1,+41
42,NC State,1774.0,-0.0,-67
43,Texas Tech,1773.0,-0.3,-58
44,Washington State,1766.0,-0.1,+52
45,Arizona,1764.0,-0.1,+31
46,Drake,1761.0,-0.0,-2
47,St. John's (NY),1760.0,-0.1,-37
48,Minnesota,1757.0,-0.2,+22
49,Utah,1752.0,-0.0,-51
50,Grand Canyon,1751.0,,+20
