Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Duke,2030.0,-1.4,+26
2,Alabama,1995.0,-0.3,+21
3,Texas,1988.0,-0.3,+9
4,UCLA,1981.0,-0.5,-50
5,Tennessee,1969.0,-0.4,+11
6,UConn,1960.0,-0.3,+15
7,Michigan State,1952.0,-0.9,-12
8,Auburn,1928.0,-0.0,-30
9,Michigan,1928.0,-0.4,+41
10,Ole Miss,1919.0,-0.0,+18
11,Notre Dame,1918.0,-0.0,+37
12,South Carolina,1917.0,-0.0,-50
13,Louisville,1916.0,-0.3,+54
14,Ohio State,1909.0,-0.0,-6
15,Kansas State,1908.0,-0.0,-19
16,Creighton,1907.0,-0.7,-4
17,Illinois,1888.0,-0.2,+28
18,Baylor,1882.0,-0.1,+5
19,USC,1880.0,-0.4,+29
20,Florida,1871.0,-0.2,+46
21,Maryland,1866.0,-0.1,-15
22,Missouri,1864.0,-0.0,+81
23,Kentucky,1863.0,-0.0,-21
24,TCU,1862.0,-0.1,+43
25,George Mason,1860.0,-0.6,+12
26,Mississippi State,1845.0,-0.0,+8
27,Iowa,1844.0,-0.2,+51
28,Utah,1840.0,-0.0,+9
29,Iowa State,1839.0,-0.2,+43
30,Gonzaga,1833.0,-0.2,+26
31,LSU,1827.0,-0.0,-6
32,Oklahoma,1826.0,-0.2,-47
33,UNC,1822.0,-0.2,-44
34,Texas Tech,1818.0,-0.2,+33
35,Indiana,1814.0,-0.1,+22
36,Nebraska,1811.0,-0.0,+32
37,BYU,1810.0,-0.3,+45
38,West Virginia,1803.0,-0.1,-30
39,NC State,1800.0,-0.0,+25
40,Minnesota,1799.0,-0.0,+34
41,Grand Canyon,1798.0,-0.3,+15
42,Marquette,1790.0,-0.3,-2
43,Texas A&M,1783.0,-0.0,+24
44,Georgia Tech,1783.0,-0.1,+8
45,Clemson,1781.0,-0.0,+128
46,St. John's (NY),1781.0,-0.2,-36
47,Oregon,1777.0,-0.2,+8
48,Arizona,1771.0,-0.5,-70
49,San Diego State,1758.0,-0.1,-0
50,Wisconsin,1755.0,,-9
