Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,1983.0,-0.2,+7
2,Gonzaga,1977.0,-1.3,+0
3,Houston,1944.0,-1.3,+3
4,Arizona,1911.0,-1.4,+0
5,Iowa,1875.0,-0.1,+0
6,UNC,1873.0,-0.0,+1
7,Villanova,1872.0,-0.0,-12
8,Duke,1871.0,-0.3,-1
9,Texas Tech,1864.0,-0.1,+5
10,Baylor,1862.0,-0.0,-35
11,Illinois,1861.0,-0.3,+34
12,Purdue,1854.0,-0.3,+5
13,Saint Mary's,1846.0,-0.0,+25
14,Arkansas,1845.0,-0.3,+0
15,UCLA,1838.0,-0.5,-26
16,Auburn,1825.0,-0.2,+10
17,Tennessee,1821.0,-0.2,-57
18,Kentucky,1815.0,-0.1,-20
19,Memphis,1812.0,-0.0,-20
20,Miami (FL),1812.0,-0.2,+30
21,San Diego State,1806.0,-0.1,+12
22,UConn,1803.0,-0.4,+18
23,Wisconsin,1794.0,-0.2,+1
24,Virginia Tech,1788.0,-0.3,+6
25,Texas,1781.0,-0.0,+0
26,Creighton,1781.0,-0.3,+6
27,Michigan State,1774.0,-0.2,+33
28,Boise State,1770.0,-0.4,-7
29,Virginia,1759.0,-0.0,+38
30,Providence,1758.0,-0.1,-28
31,Colorado,1756.0,-0.1,+103
32,Michigan,1754.0,-0.2,-48
33,Oklahoma,1749.0,-0.1,+15
34,Notre Dame,1746.0,-0.2,+3
35,Alabama,1740.0,-0.2,+23
36,Ohio State,1735.0,-0.0,+0
37,Colorado State,1734.0,-0.2,+14
38,Indiana,1730.0,-0.0,+13
39,Dayton,1730.0,-0.1,-22
40,St. John's (NY),1728.0,-0.1,+12
41,San Francisco,1725.0,-0.1,+0
42,Oklahoma State,1723.0,-0.0,-12
43,LSU,1722.0,-0.0,+4
44,Seton Hall,1721.0,-0.2,+0
45,Mississippi State,1716.0,-0.2,+10
46,Maryland,1712.0,-0.0,+37
47,Wake Forest,1712.0,-0.1,+7
48,North Texas,1710.0,-0.2,-9
49,TCU,1704.0,-0.1,-33
50,USC,1702.0,,+9
