Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1939.0,-1.1,-28
2,South Carolina,1910.0,-0.6,+67
3,Houston,1895.0,-0.3,+15
4,UCLA,1888.0,-1.1,+9
5,Kansas,1859.0,-0.2,-18
6,Texas,1853.0,-0.0,+24
7,Marquette,1853.0,-0.1,+10
8,Alabama,1850.0,-0.3,+29
9,Gonzaga,1842.0,-0.1,+36
10,Miami (FL),1839.0,-0.4,+22
11,Arizona,1828.0,-0.2,+68
12,Tennessee,1823.0,-0.4,+26
13,Oklahoma,1814.0,-0.2,+31
14,UNC,1810.0,-0.0,+20
15,Iowa,1809.0,-0.4,-27
16,NC State,1798.0,-0.4,+52
17,Duke,1789.0,-0.0,-11
18,Mississippi State,1788.0,-0.0,+40
19,Drake,1787.0,-0.0,+25
20,Virginia Tech,1786.0,-0.2,+6
21,Michigan State,1781.0,-0.1,+2
22,Baylor,1778.0,-0.0,+16
23,Purdue,1777.0,-0.0,+44
24,Kansas State,1776.0,-0.1,+46
25,Colorado,1773.0,-0.1,+36
26,Penn State,1770.0,-0.0,+52
27,Stanford,1769.0,-0.2,+19
28,Nebraska,1765.0,-0.1,+33
29,Ohio State,1763.0,-0.1,+31
30,LSU,1761.0,-0.2,+27
31,Villanova,1755.0,-0.0,-48
32,Indiana,1754.0,-0.1,-33
33,Iowa State,1752.0,-0.1,-22
34,West Virginia,1749.0,-0.2,+4
35,Creighton,1744.0,-0.0,-45
36,Texas A&M,1744.0,-0.3,+15
37,Virginia,1736.0,-0.3,+26
38,Michigan,1728.0,-0.0,+7
39,San Diego State,1727.0,-0.1,+58
40,Texas Tech,1724.0,-0.0,+29
41,Arkansas,1724.0,-0.1,-6
42,Washington State,1722.0,-0.2,-13
43,Memphis,1718.0,-0.0,-44
44,TCU,1717.0,-0.0,+28
45,Ole Miss,1716.0,-0.2,+18
46,USC,1711.0,-0.1,-37
47,James Madison,1709.0,-0.0,+22
48,UNLV,1708.0,-0.1,+36
49,BYU,1706.0,-0.2,+67
50,Santa Clara,1701.0,,+146
