Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1967.0,-3.4,-37
2,Houston,1880.0,-0.0,-29
3,UCLA,1879.0,-0.1,+7
4,Kansas,1876.0,-1.2,-30
5,South Carolina,1844.0,-0.0,-6
6,Marquette,1844.0,-0.3,-19
7,Iowa,1836.0,-0.3,-9
8,Texas,1829.0,-0.3,-27
9,Alabama,1822.0,-0.2,-16
10,Miami (FL),1817.0,-0.4,-17
11,Gonzaga,1806.0,-0.1,-49
12,Villanova,1803.0,-0.1,-14
13,Duke,1800.0,-0.2,-31
14,Tennessee,1796.0,-0.2,-26
15,UNC,1790.0,-0.0,-5
16,Creighton,1789.0,-0.1,-11
17,Indiana,1787.0,-0.2,-18
18,Oklahoma,1783.0,-0.1,+12
19,Virginia Tech,1780.0,-0.0,-42
20,Michigan State,1779.0,-0.2,-47
21,Iowa State,1773.0,-0.2,-6
22,Maryland,1769.0,-0.2,-44
23,Drake,1763.0,-0.0,+0
24,Baylor,1762.0,-0.0,-8
25,Memphis,1762.0,-0.1,-48
26,Arizona,1760.0,-0.3,+15
27,Oregon,1753.0,-0.1,+8
28,Stanford,1750.0,-0.0,+9
29,Mississippi State,1749.0,-0.0,+7
30,USC,1748.0,-0.1,+62
31,NC State,1746.0,-0.0,+14
32,West Virginia,1745.0,-0.3,-52
33,Colorado,1737.0,-0.1,+41
34,Washington State,1735.0,-0.0,+13
35,LSU,1734.0,-0.0,-98
36,Kentucky,1733.0,-0.0,+11
37,Purdue,1733.0,-0.0,-52
38,Ohio State,1732.0,-0.0,-79
39,Nebraska,1731.0,-0.0,+12
40,Arkansas,1731.0,-0.0,-0
41,Kansas State,1730.0,-0.0,-43
42,Texas A&M,1729.0,-0.3,+14
43,Michigan,1722.0,-0.2,+7
44,Penn State,1717.0,-0.0,-2
45,Wisconsin,1717.0,-0.0,-22
46,Toledo,1716.0,-0.2,+11
47,North Texas,1710.0,-0.0,+4
48,Virginia,1709.0,-0.2,+5
49,Middle Tennessee,1705.0,-0.3,+61
50,Ole Miss,1698.0,,-16
