Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,1977.0,-0.0,-49
2,Kansas,1976.0,-1.3,-50
3,Houston,1942.0,-1.2,-41
4,Arizona,1911.0,-0.5,-41
5,Baylor,1898.0,-0.5,-41
6,Villanova,1884.0,-0.2,-75
7,Tennessee,1878.0,-0.1,-40
8,Iowa,1875.0,-0.1,-40
9,UNC,1872.0,-0.0,-33
10,Duke,1872.0,-0.3,-34
11,UCLA,1864.0,-0.2,-34
12,Texas Tech,1859.0,-0.4,-34
13,Purdue,1849.0,-0.2,-36
14,Arkansas,1845.0,-0.4,-30
15,Kentucky,1835.0,-0.1,-33
16,Memphis,1832.0,-0.2,-21
17,Illinois,1828.0,-0.3,-33
18,Saint Mary's,1821.0,-0.2,-14
19,Auburn,1815.0,-0.5,-29
20,Michigan,1802.0,-0.2,-28
21,Texas A&M,1798.0,-0.2,-20
22,San Diego State,1794.0,-0.0,-17
23,Wisconsin,1793.0,-0.3,-23
24,UConn,1786.0,-0.0,-26
25,Providence,1786.0,-0.2,-29
26,Virginia Tech,1782.0,-0.0,-28
27,Miami (FL),1782.0,-0.0,-26
28,Texas,1781.0,-0.2,-26
29,Boise State,1777.0,-0.1,-17
30,Creighton,1775.0,-0.9,-29
31,Dayton,1752.0,-0.1,-11
32,Loyola (IL),1750.0,-0.3,-22
33,Notre Dame,1743.0,-0.0,-26
34,Davidson,1742.0,-0.0,-27
35,Michigan State,1741.0,-0.2,-28
36,TCU,1737.0,-0.1,-25
37,Ohio State,1735.0,-0.0,-22
38,Oklahoma State,1735.0,-0.0,-46
39,Oklahoma,1734.0,-0.1,-49
40,Rutgers,1732.0,-0.3,-20
41,San Francisco,1725.0,-0.2,-16
42,Seton Hall,1721.0,-0.0,+3
43,Virginia,1720.0,-0.0,-12
44,Colorado State,1720.0,-0.0,-19
45,North Texas,1719.0,-0.0,-24
46,LSU,1718.0,-0.0,-19
47,Alabama,1717.0,-0.0,+10
48,Indiana,1716.0,-0.0,-4
49,Washington State,1715.0,-0.0,-23
50,St. John's (NY),1715.0,,-17
