Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2119.0,-2.7,-3
2,South Carolina,2049.0,-3.5,+44
3,Iowa State,1960.0,-0.2,+0
4,Texas,1955.0,-0.9,+0
5,Illinois,1931.0,-0.2,+13
6,Duke,1925.0,-0.1,+0
7,Auburn,1922.0,-0.0,+0
8,NC State,1921.0,-0.0,-65
9,Iowa,1920.0,-0.0,+4
10,Gonzaga,1919.0,-0.4,+0
11,USC,1909.0,-0.4,+0
12,Tennessee,1900.0,-1.1,+0
13,Purdue,1871.0,-0.0,+27
14,Houston,1870.0,-0.0,+0
15,UNC,1869.0,-0.1,+0
16,Creighton,1867.0,-0.0,+0
17,LSU,1866.0,-0.8,+0
18,Arizona,1845.0,-0.2,+0
19,Texas A&M,1841.0,-0.0,+0
20,Baylor,1840.0,-0.1,+0
21,Alabama,1837.0,-0.0,-7
22,Ohio State,1836.0,-0.1,+0
23,Colorado,1834.0,-0.4,+0
24,Indiana,1825.0,-0.1,+0
25,Nebraska,1822.0,-0.2,+0
26,UCLA,1816.0,-0.1,+0
27,Notre Dame,1814.0,-0.1,+0
28,Marquette,1812.0,-0.5,+0
29,Michigan State,1798.0,-0.1,+0
30,UNLV,1795.0,-0.2,+0
31,Seton Hall,1790.0,-0.0,+22
32,St. John's (NY),1790.0,-0.2,+0
33,Oklahoma,1785.0,-0.0,+0
34,Stanford,1784.0,-0.0,+0
35,Penn State,1783.0,-0.1,+0
36,Mississippi State,1781.0,-0.1,+0
37,Virginia Tech,1779.0,-0.0,+0
38,Ole Miss,1778.0,-0.1,+0
39,Utah,1775.0,-0.1,-38
40,Drake,1773.0,-0.2,+0
41,Kansas State,1768.0,-0.0,+0
42,Oregon State,1767.0,-0.1,+0
43,Kansas,1764.0,-0.4,+0
44,Washington State,1755.0,-0.2,+0
45,Villanova,1749.0,-0.1,-13
46,Florida,1747.0,-0.3,+0
47,Kentucky,1740.0,-0.0,+0
48,Colorado State,1739.0,-0.2,+0
49,Texas Tech,1735.0,-0.1,+0
50,Clemson,1733.0,,+0
