Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2077.0,-2.6,+3
2,Iowa State,2011.0,-1.1,+19
3,Gonzaga,1984.0,-1.8,+23
4,UNC,1938.0,-0.2,+27
5,South Carolina,1934.0,-0.3,-60
6,Texas,1927.0,-0.2,+3
7,Tennessee,1922.0,-0.0,+23
8,Auburn,1922.0,-0.2,-50
9,Duke,1917.0,-0.6,+16
10,Creighton,1901.0,-0.2,+42
11,NC State,1895.0,-0.4,+25
12,USC,1886.0,-0.0,+8
13,Iowa,1886.0,-0.4,+17
14,Ohio State,1877.0,-0.0,+23
15,Baylor,1876.0,-0.2,+17
16,Illinois,1870.0,-0.0,+38
17,Arizona,1869.0,-0.2,+15
18,Colorado,1864.0,-0.0,+37
19,Houston,1864.0,-0.3,+4
20,Texas A&M,1856.0,-0.0,+19
21,Nebraska,1855.0,-0.1,-19
22,LSU,1852.0,-0.5,-31
23,UNLV,1839.0,-0.7,-12
24,Alabama,1822.0,-0.2,+28
25,UCLA,1816.0,-0.0,+11
26,Indiana,1816.0,-0.3,+24
27,Marquette,1809.0,-0.1,-22
28,Notre Dame,1807.0,-0.1,+8
29,Ole Miss,1804.0,-0.1,+29
30,Oklahoma,1802.0,-0.0,+5
31,St. John's (NY),1802.0,-0.1,+48
32,Purdue,1799.0,-0.0,+9
33,Michigan State,1798.0,-0.4,+4
34,Virginia Tech,1788.0,-0.0,+32
35,Kansas State,1787.0,-0.1,-8
36,Mississippi State,1784.0,-0.0,-13
37,Kansas,1783.0,-0.3,-1
38,Penn State,1776.0,-0.1,+6
39,Utah,1774.0,-0.0,+37
40,Drake,1773.0,-0.1,-35
41,Washington State,1771.0,-0.4,+17
42,Stanford,1762.0,-0.6,+15
43,Florida,1747.0,-0.1,-70
44,Cincinnati,1745.0,-0.1,+10
45,Virginia,1743.0,-0.1,-42
46,Kentucky,1740.0,-0.0,-39
47,Colorado State,1739.0,-0.2,+39
48,Texas Tech,1735.0,-0.2,-14
49,BYU,1731.0,-0.0,-26
50,Oregon,1731.0,,+49
