Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1973.0,-0.7,+27
2,Texas,1954.0,-0.2,-10
3,Houston,1950.0,-1.3,-20
4,UCLA,1916.0,-1.1,+14
5,Marquette,1888.0,-0.7,-15
6,Kansas,1871.0,-0.2,-8
7,Memphis,1867.0,-0.0,+14
8,Duke,1866.0,-0.2,-1
9,Alabama,1862.0,-0.2,+43
10,Gonzaga,1858.0,-0.2,-80
11,Indiana,1854.0,-0.3,+15
12,Tennessee,1846.0,-0.2,+66
13,Iowa,1840.0,-0.9,-32
14,Michigan State,1818.0,-0.2,+15
15,Villanova,1813.0,-0.2,-17
16,UNC,1807.0,-0.1,+8
17,Baylor,1804.0,-0.2,+31
18,Maryland,1800.0,-0.1,-17
19,West Virginia,1798.0,-0.3,-46
20,Virginia Tech,1790.0,-0.2,-27
21,Purdue,1785.0,-0.1,-59
22,Oklahoma,1782.0,-0.0,+14
23,South Carolina,1781.0,-0.1,+10
24,Iowa State,1779.0,-0.1,-59
25,Kansas State,1777.0,-0.1,+26
26,Creighton,1774.0,-0.0,-18
27,Ohio State,1773.0,-0.1,+18
28,San Diego State,1771.0,-0.2,-33
29,Miami (FL),1767.0,-0.0,+31
30,Arizona,1766.0,-0.0,+14
31,Mississippi State,1765.0,-0.0,+50
32,Michigan,1764.0,-0.1,+32
33,Drake,1762.0,-0.2,-19
34,Stanford,1757.0,-0.3,+8
35,Oklahoma State,1750.0,-0.2,-6
36,Oregon,1746.0,-0.3,+25
37,Toledo,1739.0,-0.1,+2
38,Kentucky,1736.0,-0.2,+10
39,NC State,1731.0,-0.0,-30
40,Wisconsin,1730.0,-0.0,+13
41,St. John's (NY),1730.0,-0.0,+8
42,Arkansas,1730.0,-0.2,+51
43,UNLV,1726.0,-0.1,-23
44,Ole Miss,1723.0,-0.0,+85
45,Washington State,1722.0,-0.1,-75
46,Penn State,1719.0,-0.2,+25
47,Texas A&M,1715.0,-0.2,-62
48,Colorado,1711.0,-0.0,+42
49,Nebraska,1711.0,-0.1,+6
50,Saint Mary's,1708.0,,+22
