Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,2056.0,-0.7,-1
2,UConn,2038.0,-3.2,+24
3,Gonzaga,1956.0,-0.1,+0
4,Tennessee,1954.0,-0.4,+15
5,Creighton,1945.0,-0.3,+17
6,Texas,1937.0,-0.1,+24
7,LSU,1935.0,-0.2,+31
8,Iowa,1931.0,-0.3,+58
9,Duke,1923.0,-0.3,-38
10,UNC,1915.0,-0.5,+53
11,Iowa State,1902.0,-0.3,-6
12,USC,1894.0,-0.2,+65
13,Auburn,1888.0,-0.4,-28
14,Nebraska,1879.0,-0.6,+50
15,Baylor,1864.0,-0.2,-15
16,Arizona,1858.0,-0.1,+2
17,UNLV,1855.0,-0.3,-27
18,Houston,1848.0,-0.2,+33
19,Oklahoma,1843.0,-0.3,+5
20,Marquette,1835.0,-0.0,+2
21,Ohio State,1834.0,-0.0,-72
22,Kansas,1834.0,-0.1,-48
23,Colorado,1832.0,-0.1,+36
24,Notre Dame,1830.0,-0.2,+4
25,Alabama,1826.0,-0.3,-53
26,Texas A&M,1818.0,-0.2,+76
27,Michigan State,1813.0,-0.0,-3
28,UCLA,1813.0,-0.3,-22
29,Indiana,1805.0,-0.2,-19
30,Kansas State,1801.0,-0.0,+15
31,Princeton,1800.0,-0.1,+14
32,Kentucky,1797.0,-0.1,+26
33,NC State,1794.0,-0.1,+17
34,Ole Miss,1792.0,-0.1,-54
35,Virginia,1790.0,-0.2,+12
36,Stanford,1784.0,-0.0,+48
37,Virginia Tech,1783.0,-0.2,-3
38,Purdue,1779.0,-0.0,-22
39,Drake,1778.0,-0.3,+27
40,Maryland,1771.0,-0.0,+38
41,BYU,1771.0,-0.0,-16
42,Washington,1771.0,-0.4,+3
43,Florida,1761.0,-0.6,+23
44,Nevada,1745.0,-0.1,+63
45,Richmond,1743.0,-0.0,-9
46,Texas Tech,1742.0,-0.1,+107
47,Illinois,1739.0,-0.1,-32
48,Utah,1737.0,-0.0,-48
49,Penn State,1737.0,-0.1,+50
50,Villanova,1734.0,,-38
