Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2073.0,-4.4,+1
2,South Carolina,1959.0,-0.8,+23
3,Tennessee,1938.0,-0.9,+35
4,Texas,1916.0,-0.7,+23
5,Illinois,1898.0,-0.1,-19
6,Duke,1896.0,-0.2,+35
7,Iowa,1890.0,-0.2,-33
8,Auburn,1886.0,-0.7,-34
9,Iowa State,1867.0,-0.1,-60
10,NC State,1865.0,-0.3,-9
11,Alabama,1858.0,-0.0,+39
12,Oklahoma,1857.0,-0.0,+42
13,Penn State,1857.0,-0.2,+29
14,Oregon,1851.0,-0.0,+42
15,LSU,1851.0,-0.0,-25
16,Stanford,1850.0,-0.1,-25
17,USC,1847.0,-0.3,-58
18,Notre Dame,1839.0,-0.0,-33
19,Ohio State,1838.0,-0.1,+23
20,UNC,1835.0,-0.0,+15
21,Colorado,1835.0,-0.0,+18
22,Gonzaga,1834.0,-0.0,+35
23,Marquette,1834.0,-0.2,+43
24,UCLA,1828.0,-0.0,+35
25,St. John's (NY),1828.0,-0.0,+45
26,Kansas State,1827.0,-0.0,+21
27,Mississippi State,1826.0,-0.2,+33
28,Michigan State,1821.0,-0.5,+10
29,Kentucky,1809.0,-0.1,+21
30,Baylor,1807.0,-0.4,+21
31,Indiana,1796.0,-0.1,+59
32,Purdue,1794.0,-0.1,-17
33,Vanderbilt,1792.0,-0.0,+76
34,Nebraska,1791.0,-0.0,-13
35,Kansas,1790.0,-0.1,-7
36,Creighton,1788.0,-0.4,-4
37,Florida State,1779.0,-0.1,+71
38,Ole Miss,1776.0,-0.0,+18
39,Drake,1776.0,-0.1,+14
40,California,1773.0,-0.0,+60
41,Texas Tech,1772.0,-0.1,+9
42,Utah,1770.0,-0.4,+14
43,Pitt,1761.0,-0.0,+49
44,Wisconsin,1761.0,-0.1,+40
45,Florida,1759.0,-0.0,-42
46,Texas A&M,1758.0,-0.5,-22
47,West Virginia,1744.0,-0.0,+16
48,Maryland,1743.0,-0.3,+17
49,BYU,1736.0,-0.4,-30
50,Washington State,1727.0,,+20
