Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Duke,1999.0,-0.1,+25
2,Michigan State,1997.0,-0.6,+56
3,South Carolina,1982.0,-0.0,+38
4,Texas,1981.0,-0.5,+71
5,UConn,1969.0,-0.4,-19
6,Alabama,1959.0,-1.1,+35
7,Tennessee,1931.0,-0.0,-26
8,Mississippi State,1930.0,-0.2,+51
9,UCLA,1925.0,-0.0,+44
10,Iowa State,1925.0,-0.2,-3
11,UNC,1921.0,-0.8,+9
12,Ohio State,1901.0,-0.1,-3
13,Kentucky,1898.0,-0.2,-37
14,USC,1892.0,-0.4,+13
15,Ole Miss,1883.0,-0.0,-18
16,Oregon,1883.0,-0.0,-0
17,Florida,1882.0,-0.0,-14
18,Creighton,1881.0,-0.0,+5
19,Oklahoma,1881.0,-0.1,-44
20,Louisville,1879.0,-0.1,-11
21,Maryland,1877.0,-0.2,-22
22,Notre Dame,1872.0,-0.1,+42
23,Baylor,1869.0,-0.0,-16
24,Auburn,1868.0,-0.5,-38
25,Arizona,1854.0,-0.5,+102
26,Illinois,1841.0,-0.1,-53
27,LSU,1838.0,-0.2,+14
28,Texas A&M,1833.0,-0.2,+21
29,Vanderbilt,1827.0,-0.1,+42
30,Marquette,1824.0,-0.5,+43
31,Michigan,1812.0,-0.0,-84
32,Minnesota,1811.0,-0.2,+53
33,Kansas,1807.0,-0.0,-26
34,Nebraska,1807.0,-0.1,+46
35,Purdue,1805.0,-0.1,+58
36,George Mason,1803.0,-0.2,+15
37,Utah,1798.0,-0.0,-12
38,West Virginia,1798.0,-0.1,-78
39,Kansas State,1795.0,-0.2,+5
40,Florida State,1790.0,-0.3,-19
41,Gonzaga,1782.0,-0.0,+43
42,California,1782.0,-0.1,+32
43,Indiana,1779.0,-0.2,-23
44,NC State,1774.0,-0.0,-11
45,Iowa,1774.0,-0.0,-16
46,TCU,1773.0,-0.1,-82
47,Texas Tech,1771.0,-0.1,+1
48,Houston,1769.0,-0.4,-10
49,Wisconsin,1758.0,-0.1,-58
50,Grand Canyon,1756.0,,+11
