Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2060.0,-5.4,-58
2,Iowa State,1920.0,-0.2,-39
3,Gonzaga,1916.0,-0.2,-3
4,Auburn,1912.0,-0.2,-10
5,South Carolina,1908.0,-0.4,-140
6,Illinois,1899.0,-0.0,-32
7,Duke,1899.0,-0.4,-26
8,Tennessee,1888.0,-0.0,-12
9,USC,1888.0,-0.0,-21
10,NC State,1887.0,-0.2,-34
11,Texas,1883.0,-0.0,-72
12,Iowa,1882.0,-1.3,-38
13,LSU,1849.0,-0.0,-17
14,Purdue,1849.0,-0.4,-22
15,Ohio State,1838.0,-0.1,+2
16,Arizona,1836.0,-0.5,-9
17,Michigan State,1823.0,-0.0,+25
18,Colorado,1822.0,-0.0,-12
19,UNC,1821.0,-0.0,-48
20,Alabama,1820.0,-0.5,-16
21,Creighton,1807.0,-0.1,-60
22,Oklahoma,1805.0,-0.0,+20
23,Stanford,1804.0,-0.2,+20
24,Nebraska,1798.0,-0.2,-24
25,Kansas State,1792.0,-0.0,+24
26,Marquette,1792.0,-0.3,-19
27,Mississippi State,1785.0,-0.1,+4
28,Notre Dame,1783.0,-0.0,-30
29,Baylor,1782.0,-0.1,-58
30,Penn State,1779.0,-0.0,-4
31,St. John's (NY),1779.0,-0.2,-11
32,Indiana,1773.0,-0.0,-52
33,Florida,1772.0,-0.0,+25
34,Utah,1772.0,-0.1,-2
35,Oregon,1770.0,-0.0,+39
36,Drake,1770.0,-0.1,-3
37,UCLA,1767.0,-0.1,-49
38,Kansas,1764.0,-0.1,+0
39,Virginia Tech,1762.0,-0.1,-17
40,Texas A&M,1759.0,-0.2,-82
41,Kentucky,1755.0,-0.2,+15
42,Colorado State,1749.0,-0.1,+10
43,Ole Miss,1747.0,-0.1,-30
44,UNLV,1745.0,-0.2,-50
45,Seton Hall,1741.0,-0.2,-49
46,Clemson,1735.0,-0.0,+2
47,Oregon State,1735.0,-0.0,-31
48,BYU,1734.0,-0.1,+3
49,Houston,1731.0,-0.2,-139
50,Texas Tech,1725.0,,-10
