Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,2006.0,-0.0,+1
2,Tennessee,2005.0,-0.8,+5
3,Auburn,1985.0,-0.8,+0
4,UConn,1964.0,-0.5,+0
5,Alabama,1950.0,-0.6,+7
6,Texas,1935.0,-0.0,+18
7,UCLA,1934.0,-0.2,+4
8,Oklahoma,1928.0,-1.1,+4
9,Michigan State,1901.0,-0.1,+0
10,LSU,1899.0,-0.0,+0
11,Iowa,1899.0,-0.2,+0
12,Duke,1894.0,-0.2,+0
13,UNC,1890.0,-0.2,+0
14,Ohio State,1885.0,-0.8,+0
15,Baylor,1865.0,-0.1,+0
16,USC,1862.0,-0.1,+2
17,Illinois,1859.0,-0.1,+21
18,Kentucky,1857.0,-0.2,+10
19,Mississippi State,1852.0,-0.2,+0
20,Vanderbilt,1847.0,-0.2,+0
21,Maryland,1843.0,-0.0,+1
22,Oregon,1843.0,-0.1,-16
23,NC State,1841.0,-0.2,+2
24,Colorado,1835.0,-0.1,+0
25,Iowa State,1833.0,-0.0,+2
26,West Virginia,1833.0,-0.1,+1
27,Texas Tech,1831.0,-0.1,+18
28,Indiana,1828.0,-0.1,+47
29,Nebraska,1826.0,-0.3,+33
30,Kansas,1818.0,-0.0,+16
31,Notre Dame,1817.0,-0.1,+6
32,Florida,1814.0,-0.0,+0
33,TCU,1813.0,-0.0,+16
34,Florida State,1813.0,-0.1,+0
35,Michigan,1811.0,-0.0,+10
36,Creighton,1810.0,-0.3,+39
37,Utah,1803.0,-0.1,+0
38,Marquette,1800.0,-0.1,+0
39,St. John's (NY),1798.0,-0.7,-36
40,Kansas State,1779.0,-0.5,+26
41,Texas A&M,1767.0,-0.0,+15
42,Ole Miss,1766.0,-0.1,-70
43,Drake,1763.0,-0.2,+0
44,George Mason,1759.0,-0.1,+17
45,Georgia Tech,1756.0,-0.1,+4
46,California,1754.0,-0.1,+21
47,Clemson,1751.0,-0.1,+0
48,SMU,1749.0,-0.2,+0
49,San Diego State,1745.0,-0.0,-18
50,BYU,1744.0,,+0
