Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2031.0,-2.0,+3
2,South Carolina,1979.0,-2.0,-67
3,Gonzaga,1927.0,-0.4,+14
4,Alabama,1917.0,-0.2,-17
5,Auburn,1911.0,-0.1,+56
6,Duke,1908.0,-0.2,+13
7,Texas,1904.0,-0.4,-20
8,Creighton,1894.0,-0.0,+24
9,Tennessee,1893.0,-0.4,+34
10,LSU,1883.0,-0.1,+58
11,Ohio State,1880.0,-0.2,+57
12,UNC,1874.0,-0.4,+19
13,Arizona,1865.0,-0.2,+3
14,Kansas,1861.0,-0.1,-16
15,Oklahoma,1859.0,-0.5,-34
16,NC State,1845.0,-0.0,+48
17,Iowa,1844.0,-0.1,-36
18,UCLA,1842.0,-0.0,+6
19,Baylor,1841.0,-0.2,-1
20,Marquette,1835.0,-0.1,-20
21,Indiana,1833.0,-0.1,+58
22,Virginia,1830.0,-0.0,+15
23,Virginia Tech,1829.0,-0.2,-2
24,Houston,1823.0,-0.2,+58
25,Michigan State,1819.0,-0.3,-2
26,Iowa State,1811.0,-0.1,-1
27,Washington State,1809.0,-0.1,-3
28,Ole Miss,1806.0,-0.0,+27
29,Stanford,1805.0,-0.0,-45
30,UNLV,1804.0,-0.0,-5
31,Colorado,1803.0,-0.1,-35
32,Florida,1800.0,-0.0,+20
33,Mississippi State,1799.0,-0.2,-30
34,Texas A&M,1795.0,-0.1,-42
35,Princeton,1793.0,-0.2,+33
36,Nebraska,1788.0,-0.3,+42
37,USC,1781.0,-0.1,+73
38,Illinois,1779.0,-0.2,+3
39,Kansas State,1774.0,-0.2,-19
40,Purdue,1768.0,-0.0,-38
41,Villanova,1767.0,-0.6,+20
42,TCU,1752.0,-0.0,+67
43,Clemson,1752.0,-0.0,+5
44,BYU,1751.0,-0.0,-45
45,Drake,1751.0,-0.1,+18
46,Utah,1748.0,-0.1,+21
47,Maryland,1745.0,-0.0,+62
48,VCU,1744.0,-0.0,-4
49,Florida State,1744.0,-0.0,-11
50,West Virginia,1744.0,,-32
