Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Purdue,1984.0,-1.1,+23
2,Houston,1956.0,-0.9,+12
3,Kansas,1933.0,-0.2,+52
4,Gonzaga,1928.0,-0.1,+10
5,UCLA,1925.0,-1.1,+12
6,Alabama,1897.0,-0.4,+40
7,Texas,1888.0,-0.4,+61
8,Marquette,1878.0,-0.7,-8
9,Indiana,1861.0,-0.1,+31
10,Tennessee,1858.0,-0.0,-37
11,Creighton,1858.0,-0.2,+29
12,Oklahoma State,1853.0,-0.2,+67
13,San Diego State,1849.0,-0.1,+42
14,Miami (FL),1846.0,-0.3,+32
15,Memphis,1839.0,-0.1,+9
16,Illinois,1837.0,-0.1,+21
17,Baylor,1834.0,-0.2,-21
18,Texas A&M,1829.0,-0.5,+17
19,Saint Mary's,1815.0,-0.0,-45
20,UConn,1815.0,-0.4,+0
21,Duke,1804.0,-0.1,-32
22,Boise State,1801.0,-0.1,-32
23,Mississippi State,1798.0,-0.1,+53
24,Virginia,1796.0,-0.1,-39
25,Arkansas,1794.0,-0.2,-21
26,Michigan State,1790.0,-0.0,+41
27,Maryland,1789.0,-0.1,+23
28,UNC,1786.0,-0.4,-21
29,Providence,1777.0,-0.0,-39
30,Iowa,1776.0,-0.1,-29
31,West Virginia,1773.0,-0.1,+7
32,Villanova,1770.0,-0.0,+81
33,Kansas State,1769.0,-0.0,+4
34,NC State,1769.0,-0.3,+22
35,Drake,1762.0,-0.2,+45
36,TCU,1756.0,-0.1,-84
37,Michigan,1754.0,-0.0,+22
38,Arizona,1753.0,-0.2,-120
39,USC,1747.0,-0.1,-58
40,Iowa State,1745.0,-0.1,-62
41,Virginia Tech,1743.0,-0.0,-28
42,Rutgers,1743.0,-0.2,-34
43,St. John's (NY),1738.0,-0.0,+77
44,Oregon,1737.0,-0.2,+18
45,Kentucky,1733.0,-0.1,-85
46,Xavier,1730.0,-0.8,-77
47,Syracuse,1710.0,-0.4,+38
48,Texas Tech,1700.0,-0.0,-0
49,Wake Forest,1700.0,-0.0,+3
50,Missouri,1700.0,,+20
