Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2000.0,-1.5,+6
2,South Carolina,1961.0,-0.3,+28
3,Texas,1954.0,-0.0,+70
4,Alabama,1954.0,-0.4,-44
5,Duke,1943.0,-0.4,+18
6,Tennessee,1932.0,-0.2,-84
7,Iowa State,1926.0,-0.1,+25
8,Auburn,1923.0,-0.2,-19
9,Michigan State,1918.0,-0.4,+4
10,Maryland,1909.0,-0.0,+45
11,Kentucky,1909.0,-0.0,+29
12,Oregon,1909.0,-0.0,+27
13,Mississippi State,1908.0,-0.3,-23
14,Ohio State,1901.0,-0.2,+25
15,USC,1896.0,-0.4,+19
16,UNC,1886.0,-0.1,+20
17,Michigan,1884.0,-0.1,+55
18,UCLA,1882.0,-0.2,-71
19,Baylor,1878.0,-0.2,+50
20,Iowa,1874.0,-0.1,+30
21,Florida,1872.0,-0.5,+66
22,Ole Miss,1859.0,-0.1,+71
23,TCU,1856.0,-0.1,+7
24,Louisville,1854.0,-0.0,+45
25,West Virginia,1853.0,-0.1,-34
26,Oklahoma,1851.0,-0.5,-46
27,Illinois,1837.0,-0.0,+11
28,LSU,1837.0,-0.1,-45
29,Notre Dame,1835.0,-0.0,+33
30,Marquette,1835.0,-0.0,+11
31,Creighton,1834.0,-0.2,+23
32,Nebraska,1829.0,-0.2,+14
33,Indiana,1825.0,-0.4,+6
34,Utah,1814.0,-0.1,+61
35,Kansas,1811.0,-0.3,+6
36,Texas A&M,1803.0,-0.2,-20
37,Kansas State,1798.0,-0.5,-30
38,Arizona,1784.0,-0.1,+21
39,Georgia,1782.0,-0.0,+73
40,Clemson,1781.0,-0.0,-2
41,Gonzaga,1780.0,-0.0,+44
42,NC State,1779.0,-0.3,+5
43,Florida State,1772.0,-0.0,-51
44,Oklahoma State,1772.0,-0.0,+40
45,St. John's (NY),1771.0,-0.1,+11
46,Wisconsin,1768.0,-0.5,-8
47,George Mason,1756.0,-0.0,+9
48,Vanderbilt,1755.0,-0.1,-118
49,Minnesota,1753.0,-0.1,-3
50,California,1750.0,,+50
