Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,1983.0,-0.2,+27
2,Tennessee,1978.0,-1.4,+34
3,UConn,1943.0,-0.8,+29
4,Auburn,1923.0,-0.1,-12
5,LSU,1921.0,-0.4,+28
6,Duke,1912.0,-0.5,-2
7,Michigan State,1900.0,-0.0,+52
8,Texas,1899.0,-0.0,-40
9,Iowa,1898.0,-0.1,-32
10,UCLA,1895.0,-0.3,+10
11,Oklahoma,1888.0,-0.0,+21
12,Alabama,1888.0,-0.4,+7
13,Iowa State,1879.0,-0.3,+23
14,UNC,1871.0,-0.9,+16
15,Creighton,1847.0,-0.0,+67
16,Marquette,1846.0,-0.0,+3
17,St. John's (NY),1846.0,-0.1,+45
18,Maryland,1843.0,-0.2,+66
19,Illinois,1837.0,-0.0,-29
20,West Virginia,1836.0,-0.1,+26
21,Mississippi State,1834.0,-0.1,+1
22,Kentucky,1832.0,-0.3,-49
23,Texas Tech,1824.0,-0.0,+14
24,Kansas,1823.0,-0.0,-26
25,NC State,1823.0,-0.1,+40
26,Florida State,1820.0,-0.0,-51
27,Michigan,1820.0,-0.1,+26
28,Ole Miss,1818.0,-0.2,+10
29,Oregon,1813.0,-0.0,-4
30,USC,1813.0,-0.0,+52
31,Ohio State,1812.0,-0.2,-38
32,Vanderbilt,1808.0,-0.3,+30
33,Penn State,1801.0,-0.0,-34
34,Baylor,1800.0,-0.0,-5
35,Colorado,1800.0,-0.2,+29
36,Florida,1795.0,-0.4,+52
37,Kansas State,1786.0,-0.0,-21
38,Indiana,1786.0,-0.3,+67
39,Stanford,1779.0,-0.0,+16
40,Utah,1778.0,-0.5,-16
41,Nebraska,1765.0,-0.0,-35
42,California,1765.0,-0.0,-19
43,San Diego State,1764.0,-0.3,+12
44,TCU,1756.0,-0.0,+29
45,Clemson,1755.0,-0.1,+6
46,Texas A&M,1753.0,-0.1,+34
47,Wisconsin,1750.0,-0.2,-32
48,Purdue,1744.0,-0.1,-30
49,Gonzaga,1741.0,-0.0,-6
50,Notre Dame,1740.0,,+18
