Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1988.0,-0.5,-12
2,Duke,1975.0,-0.7,+31
3,Tennessee,1957.0,-0.5,+24
4,South Carolina,1943.0,-0.1,-18
5,Michigan State,1941.0,-0.2,+22
6,Kentucky,1935.0,-0.3,+27
7,Iowa State,1928.0,-0.1,+2
8,Oklahoma,1925.0,-0.0,+74
9,Alabama,1924.0,-0.5,-29
10,UNC,1912.0,-0.1,+27
11,Texas,1910.0,-0.2,-44
12,Auburn,1906.0,-0.1,-18
13,Ohio State,1904.0,-0.1,+3
14,Ole Miss,1902.0,-0.1,+43
15,Maryland,1899.0,-0.1,-10
16,Florida,1896.0,-0.0,+24
17,Michigan,1895.0,-0.0,+11
18,Illinois,1894.0,-0.2,+57
19,Louisville,1890.0,-0.2,+36
20,Baylor,1885.0,-0.1,+6
21,Oregon,1883.0,-0.0,-26
22,UCLA,1882.0,-0.1,-0
23,USC,1880.0,-0.0,-16
24,Mississippi State,1879.0,-0.1,-28
25,Creighton,1876.0,-0.0,+42
26,West Virginia,1876.0,-0.8,+23
27,TCU,1855.0,-0.9,-1
28,Kansas,1833.0,-0.1,+22
29,Notre Dame,1830.0,-0.2,-4
30,LSU,1824.0,-0.3,-13
31,Wisconsin,1816.0,-0.2,+48
32,Texas A&M,1812.0,-0.1,+9
33,Utah,1810.0,-0.0,-4
34,Florida State,1809.0,-0.3,+36
35,Indiana,1802.0,-0.5,-23
36,Kansas State,1790.0,-0.0,-8
37,Iowa,1790.0,-0.1,-85
38,George Mason,1788.0,-0.1,+31
39,Vanderbilt,1785.0,-0.0,+30
40,NC State,1785.0,-0.2,+7
41,Marquette,1781.0,-0.1,-54
42,Houston,1778.0,-0.2,+33
43,St. John's (NY),1774.0,-0.2,+3
44,Texas Tech,1770.0,-0.1,+54
45,Washington State,1768.0,-0.2,+58
46,Clemson,1762.0,-0.0,-19
47,Nebraska,1761.0,-0.1,-68
48,Minnesota,1758.0,-0.2,+5
49,Oklahoma State,1752.0,-0.0,-20
50,Arizona,1752.0,,-33
