Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,1954.0,-1.7,+8
2,Texas,1910.0,-0.1,-9
3,UConn,1908.0,-0.5,+0
4,Marquette,1896.0,-0.7,+11
5,Baylor,1879.0,-0.3,+21
6,Colorado,1871.0,-0.2,+30
7,Kansas State,1867.0,-0.2,+22
8,Gonzaga,1861.0,-0.1,-35
9,NC State,1858.0,-0.4,+0
10,Ohio State,1849.0,-0.0,-32
11,Auburn,1849.0,-0.3,+11
12,UNC,1841.0,-0.6,+1
13,Indiana,1826.0,-0.0,+4
14,Arizona,1825.0,-0.0,+14
15,Iowa,1824.0,-0.2,+34
16,Maryland,1819.0,-0.1,+1
17,Mississippi State,1816.0,-0.0,+1
18,Kansas,1815.0,-0.0,-56
19,UCLA,1815.0,-0.0,-2
20,Alabama,1814.0,-0.0,+23
21,Duke,1814.0,-0.1,+4
22,Utah,1811.0,-0.0,+17
23,Creighton,1810.0,-0.0,+0
24,UNLV,1810.0,-0.0,+11
25,Purdue,1810.0,-0.0,+49
26,Ole Miss,1809.0,-0.1,+2
27,Iowa State,1807.0,-0.3,+13
28,Villanova,1799.0,-0.1,+15
29,Miami (FL),1796.0,-0.0,+7
30,Michigan State,1795.0,-0.1,+21
31,Texas A&M,1793.0,-0.0,+3
32,LSU,1792.0,-0.0,+7
33,San Diego State,1791.0,-0.1,+45
34,Syracuse,1788.0,-0.1,+10
35,Nebraska,1786.0,-0.0,+1
36,Clemson,1786.0,-0.1,+9
37,Washington State,1783.0,-0.3,-37
38,West Virginia,1776.0,-0.0,+51
39,Princeton,1776.0,-0.2,+16
40,TCU,1770.0,-0.1,+27
41,Houston,1767.0,-0.1,-15
42,Tennessee,1764.0,-0.6,+0
43,Stanford,1748.0,-0.0,-1
44,Washington,1747.0,-0.2,-9
45,Davidson,1742.0,-0.1,+2
46,Florida,1740.0,-0.4,+20
47,BYU,1729.0,-0.0,-13
48,Colorado State,1728.0,-0.0,-9
49,Oklahoma,1727.0,-0.0,+33
50,Oregon,1726.0,,+47
