Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Duke,2027.0,-0.9,+28
2,Texas,2004.0,-0.5,+23
3,UCLA,1990.0,-0.2,+64
4,UConn,1986.0,-0.6,+17
5,Michigan State,1970.0,-0.9,-26
6,Alabama,1946.0,-0.1,-14
7,Auburn,1944.0,-0.4,+76
8,Ohio State,1935.0,-0.4,+34
9,Tennessee,1924.0,-0.1,-7
10,USC,1921.0,-0.2,+29
11,South Carolina,1917.0,-0.7,-65
12,Oklahoma,1899.0,-0.1,+18
13,Creighton,1897.0,-0.3,+16
14,Kentucky,1890.0,-0.2,-8
15,Kansas State,1884.0,-0.1,+89
16,Maryland,1881.0,-0.0,+4
17,Ole Miss,1881.0,-0.3,-2
18,Oregon,1874.0,-0.2,-9
19,Louisville,1868.0,-0.1,-11
20,Illinois,1865.0,-0.1,+24
21,Arizona,1863.0,-0.1,+9
22,UNC,1861.0,-0.0,-60
23,Baylor,1860.0,-0.5,-9
24,Notre Dame,1846.0,-0.2,-26
25,Mississippi State,1841.0,-0.1,-89
26,Iowa State,1839.0,-0.1,-86
27,LSU,1836.0,-0.0,-2
28,George Mason,1835.0,-0.1,+32
29,Marquette,1833.0,-0.3,+10
30,Vanderbilt,1825.0,-0.1,-2
31,Missouri,1822.0,-0.5,+70
32,Kansas,1809.0,-0.1,+2
33,Texas Tech,1806.0,-0.2,+35
34,Michigan,1802.0,-0.1,-10
35,Utah,1799.0,-0.0,+1
36,Florida,1798.0,-0.2,-84
37,West Virginia,1792.0,-0.0,-6
38,Nebraska,1792.0,-0.1,-15
39,Minnesota,1790.0,-0.1,-21
40,Wisconsin,1787.0,-0.0,+29
41,Gonzaga,1786.0,-0.1,+4
42,Grand Canyon,1783.0,-0.0,+27
43,Texas A&M,1782.0,-0.2,-51
44,NC State,1776.0,-0.2,+2
45,St. John's (NY),1771.0,-0.0,+34
46,Florida State,1770.0,-0.0,-20
47,BYU,1769.0,-0.0,+27
48,TCU,1768.0,-0.0,-5
49,Purdue,1767.0,-0.0,-38
50,Indiana,1766.0,,-13
