Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,1965.0,-0.8,+1
2,Houston,1944.0,-0.6,+8
3,UCLA,1929.0,-0.3,+42
4,Marquette,1922.0,-0.6,+26
5,Texas,1906.0,-0.2,+23
6,UConn,1902.0,-0.5,+42
7,Kansas,1890.0,-0.4,+7
8,Memphis,1879.0,-0.3,+20
9,Creighton,1871.0,-0.1,+28
10,Iowa,1869.0,-0.2,+99
11,Virginia Tech,1863.0,-0.4,+102
12,Maryland,1854.0,-0.4,-27
13,Tennessee,1844.0,-0.0,+7
14,Duke,1843.0,-0.1,-28
15,West Virginia,1841.0,-0.2,+64
16,Indiana,1836.0,-0.2,-60
17,Michigan State,1831.0,-0.2,+17
18,Villanova,1826.0,-0.4,+2
19,Iowa State,1816.0,-0.3,+50
20,Purdue,1808.0,-0.1,-70
21,Oklahoma,1806.0,-0.4,+30
22,San Diego State,1797.0,-0.1,+5
23,Baylor,1795.0,-0.5,-25
24,UNC,1782.0,-0.4,+20
25,Alabama,1772.0,-0.0,-74
26,Washington State,1772.0,-0.2,+42
27,Kansas State,1767.0,-0.1,-41
28,South Carolina,1764.0,-0.3,+99
29,Drake,1756.0,-0.0,+11
30,Ohio State,1755.0,-0.3,+90
31,Toledo,1748.0,-0.0,+21
32,Kentucky,1748.0,-0.0,+34
33,Miami (FL),1748.0,-0.0,-2
34,Texas A&M,1747.0,-0.0,-16
35,Mississippi State,1746.0,-0.1,-85
36,Clemson,1743.0,-0.2,+11
37,Illinois,1739.0,-0.0,+9
38,Michigan,1739.0,-0.2,-19
39,Oregon,1735.0,-0.0,+6
40,Stanford,1735.0,-0.1,+25
41,Wisconsin,1732.0,-0.2,-16
42,Oklahoma State,1726.0,-0.0,-40
43,USC,1725.0,-0.3,-59
44,Boise State,1718.0,-0.0,-85
45,Arizona,1717.0,-0.2,-3
46,Liberty,1713.0,-0.1,+15
47,St. John's (NY),1711.0,-0.2,-3
48,NC State,1707.0,-0.1,+2
49,Nebraska,1705.0,-0.1,+3
50,Texas Tech,1703.0,,-14
