Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,1964.0,-1.1,+15
2,Houston,1936.0,-1.6,-13
3,Indiana,1896.0,-0.0,+16
4,Marquette,1896.0,-0.4,-7
5,UCLA,1887.0,-0.2,-57
6,Texas,1883.0,-0.0,+40
7,Kansas,1883.0,-0.1,-62
8,Maryland,1881.0,-0.1,+12
9,Purdue,1878.0,-0.3,-32
10,Duke,1871.0,-0.4,+64
11,UConn,1861.0,-0.1,+7
12,Memphis,1858.0,-0.5,-2
13,Alabama,1846.0,-0.1,-67
14,Creighton,1843.0,-0.2,-11
15,Tennessee,1837.0,-0.2,-30
16,Mississippi State,1831.0,-0.2,+68
17,Villanova,1825.0,-0.2,+63
18,Baylor,1820.0,-0.2,+48
19,Michigan State,1814.0,-0.2,+39
20,Kansas State,1808.0,-0.2,+58
21,Boise State,1803.0,-0.4,-29
22,San Diego State,1792.0,-0.3,-5
23,USC,1784.0,-0.3,+22
24,West Virginia,1777.0,-0.0,+24
25,Oklahoma,1776.0,-0.2,-2
26,Iowa,1770.0,-0.2,-105
27,Iowa State,1766.0,-0.0,-18
28,Oklahoma State,1766.0,-0.2,-37
29,UNC,1762.0,-0.0,+10
30,Texas A&M,1762.0,-0.0,-41
31,Virginia Tech,1761.0,-0.1,-2
32,Michigan,1758.0,-0.3,+3
33,Miami (FL),1751.0,-0.1,-103
34,Wisconsin,1748.0,-0.1,+92
35,UNLV,1745.0,-0.0,+68
36,Drake,1745.0,-0.2,+14
37,TCU,1741.0,-0.1,-69
38,Arkansas,1738.0,-0.3,-56
39,Clemson,1731.0,-0.0,+110
40,Illinois,1730.0,-0.0,-35
41,Washington State,1730.0,-0.0,+60
42,Oregon,1729.0,-0.1,+38
43,Toledo,1727.0,-0.0,+35
44,Missouri,1726.0,-0.2,+71
45,Arizona,1721.0,-0.2,-96
46,Iona,1717.0,-0.0,+17
47,Texas Tech,1717.0,-0.1,+17
48,Kentucky,1715.0,-0.0,+4
49,St. John's (NY),1714.0,-0.1,+21
50,Middle Tennessee,1712.0,,+22
