Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,1945.0,-0.4,+22
2,UConn,1935.0,-1.1,-19
3,Texas,1906.0,-0.4,+17
4,UCLA,1897.0,-0.9,+1
5,Marquette,1874.0,-0.2,-21
6,Iowa,1869.0,-0.2,+27
7,Gonzaga,1865.0,-0.2,-21
8,Ohio State,1859.0,-0.2,+7
9,Kansas,1855.0,-0.5,+24
10,Indiana,1842.0,-0.4,+28
11,Baylor,1831.0,-0.2,+20
12,NC State,1827.0,-0.1,-27
13,Miami (FL),1824.0,-0.1,-36
14,Oklahoma,1821.0,-0.2,+4
15,Kansas State,1816.0,-0.2,-3
16,Houston,1811.0,-0.1,-94
17,UNC,1809.0,-0.7,-4
18,Michigan State,1791.0,-0.0,+14
19,Nebraska,1790.0,-0.2,+44
20,Creighton,1784.0,-0.0,+16
21,Alabama,1784.0,-0.1,-41
22,Arizona,1782.0,-0.1,-39
23,Ole Miss,1779.0,-0.0,+8
24,Colorado,1779.0,-0.0,+2
25,Virginia,1778.0,-0.1,+76
26,Wisconsin,1775.0,-0.1,+52
27,TCU,1772.0,-0.1,+15
28,Mississippi State,1770.0,-0.0,-41
29,Villanova,1769.0,-0.1,-52
30,Colorado State,1766.0,-0.0,+42
31,LSU,1765.0,-0.0,-21
32,Princeton,1765.0,-0.1,+13
33,Texas A&M,1763.0,-0.0,-3
34,Purdue,1763.0,-0.0,-16
35,Stanford,1763.0,-0.0,+63
36,Duke,1762.0,-0.0,-25
37,Louisville,1761.0,-0.1,+68
38,Washington State,1759.0,-0.2,+25
39,Tennessee,1753.0,-0.2,-38
40,Utah,1749.0,-0.0,+56
41,USC,1749.0,-0.1,+0
42,UNLV,1746.0,-0.0,+60
43,Auburn,1745.0,-0.0,+80
44,Arkansas,1744.0,-0.2,+38
45,Texas Tech,1739.0,-0.1,-17
46,West Virginia,1736.0,-0.6,-13
47,Washington,1720.0,-0.0,+26
48,North Texas,1719.0,-0.2,+7
49,BYU,1714.0,-0.0,-65
50,Florida Atlantic,1713.0,,+112
