Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,1964.0,-0.2,+0
2,Purdue,1958.0,-0.5,+0
3,Gonzaga,1946.0,-0.2,+0
4,Houston,1941.0,-1.2,+0
5,UCLA,1910.0,-0.0,+0
6,UConn,1909.0,-0.4,+0
7,Tennessee,1898.0,-0.1,+0
8,Duke,1895.0,-0.2,+0
9,Arizona,1890.0,-0.7,+0
10,Arkansas,1873.0,-0.9,+0
11,Memphis,1851.0,-0.2,+0
12,Baylor,1847.0,-0.2,+4
13,Texas Tech,1843.0,-0.2,+0
14,Boise State,1837.0,-0.1,+2
15,Iowa,1834.0,-0.2,+0
16,Wisconsin,1829.0,-0.3,+0
17,UNC,1822.0,-0.0,+0
18,Virginia Tech,1821.0,-0.3,+0
19,Miami (FL),1814.0,-0.2,+0
20,Auburn,1810.0,-0.4,-13
21,Kentucky,1800.0,-0.2,+0
22,Marquette,1796.0,-0.1,+0
23,Illinois,1794.0,-0.1,+0
24,Alabama,1792.0,-0.3,+0
25,Texas,1785.0,-0.1,+4
26,Virginia,1783.0,-0.1,+0
27,Oklahoma,1780.0,-0.1,+0
28,Saint Mary's,1777.0,-0.2,-22
29,San Diego State,1773.0,-0.0,+0
30,TCU,1772.0,-0.3,+1
31,Villanova,1765.0,-0.1,+0
32,Ohio State,1763.0,-0.1,+0
33,LSU,1760.0,-0.0,+0
34,Providence,1760.0,-0.0,+0
35,St. John's (NY),1760.0,-0.1,+0
36,Arizona State,1758.0,-0.1,+4
37,Michigan,1756.0,-0.2,+0
38,Oklahoma State,1752.0,-0.1,+0
39,Mississippi State,1749.0,-0.1,+0
40,North Texas,1747.0,-0.4,+0
41,Colorado,1737.0,-0.0,+4
42,Indiana,1736.0,-0.0,+3
43,Xavier,1735.0,-0.2,+0
44,Rutgers,1729.0,-0.1,+4
45,Texas A&M,1727.0,-0.0,+0
46,West Virginia,1727.0,-0.0,+7
47,USC,1726.0,-0.1,+13
48,Iowa State,1723.0,-0.1,+1
49,Maryland,1721.0,-0.1,+0
50,UAB,1718.0,,+5
