Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1961.0,-0.7,+33
2,Marquette,1944.0,-0.3,+23
3,South Carolina,1937.0,-0.8,+14
4,Texas,1916.0,-1.2,+19
5,UCLA,1885.0,-0.5,-28
6,Ohio State,1872.0,-0.1,-20
7,Kansas State,1869.0,-0.4,+40
8,Baylor,1859.0,-0.3,+2
9,Gonzaga,1851.0,-0.2,-39
10,Kansas,1845.0,-0.0,+18
11,NC State,1845.0,-0.4,+9
12,Houston,1835.0,-0.0,+9
13,Colorado,1834.0,-0.9,+47
14,Purdue,1811.0,-0.2,-1
15,Oklahoma,1806.0,-0.1,-25
16,Arizona,1804.0,-0.2,+17
17,Creighton,1800.0,-0.0,-36
18,UNC,1799.0,-0.1,-9
19,Alabama,1797.0,-0.0,+2
20,Auburn,1797.0,-0.0,+72
21,Indiana,1796.0,-0.2,-57
22,Virginia,1792.0,-0.1,+0
23,UNLV,1790.0,-0.0,+44
24,Ole Miss,1789.0,-0.2,+8
25,Miami (FL),1785.0,-0.2,-45
26,Texas A&M,1781.0,-0.0,-23
27,Utah,1781.0,-0.1,-0
28,Iowa,1778.0,-0.1,-1
29,Iowa State,1775.0,-0.0,+17
30,LSU,1774.0,-0.0,+9
31,Washington,1773.0,-0.2,+41
32,Stanford,1767.0,-0.0,+14
33,Nebraska,1766.0,-0.1,+36
34,Maryland,1764.0,-0.0,+33
35,TCU,1764.0,-0.1,-14
36,Washington State,1761.0,-0.0,-13
37,Duke,1760.0,-0.0,+43
38,Princeton,1760.0,-0.2,+5
39,Texas Tech,1756.0,-0.0,+11
40,Clemson,1755.0,-0.2,+22
41,Mississippi State,1751.0,-0.0,+50
42,Villanova,1750.0,-0.0,+2
43,Tennessee,1750.0,-0.2,+28
44,Syracuse,1746.0,-0.1,+20
45,Colorado State,1744.0,-0.2,-35
46,Michigan,1740.0,-0.0,+88
47,BYU,1739.0,-0.2,+9
48,USC,1735.0,-0.1,-25
49,Michigan State,1732.0,-0.1,-36
50,Drake,1730.0,,+19
