Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1977.0,-2.6,+4
2,Houston,1909.0,-0.8,-40
3,Kansas,1889.0,-0.6,+18
4,Texas,1874.0,-0.1,-80
5,UCLA,1872.0,-0.1,-45
6,Miami (FL),1869.0,-0.2,+102
7,Marquette,1863.0,-0.2,-26
8,Iowa,1857.0,-0.1,+18
9,Gonzaga,1855.0,-0.5,-2
10,South Carolina,1841.0,-0.1,+59
11,Alabama,1838.0,-0.1,-24
12,Maryland,1835.0,-0.1,+35
13,Ohio State,1833.0,-0.1,+61
14,Duke,1831.0,-0.2,-35
15,Michigan State,1826.0,-0.1,+8
16,Virginia Tech,1823.0,-0.0,+33
17,Tennessee,1822.0,-0.2,-24
18,Villanova,1817.0,-0.3,+4
19,Memphis,1810.0,-0.0,-57
20,Creighton,1809.0,-0.2,+35
21,Indiana,1805.0,-0.3,-48
22,West Virginia,1798.0,-0.1,+0
23,UNC,1795.0,-0.0,-12
24,San Diego State,1795.0,-0.4,+24
25,Purdue,1785.0,-0.2,+0
26,Iowa State,1779.0,-0.2,+0
27,Kansas State,1773.0,-0.1,-4
28,Oklahoma,1771.0,-0.0,-11
29,Baylor,1770.0,-0.3,-35
30,Drake,1762.0,-0.0,+0
31,Oregon,1761.0,-0.3,+16
32,Wisconsin,1753.0,-0.3,+23
33,Arizona,1745.0,-0.1,-21
34,Mississippi State,1742.0,-0.1,-23
35,Stanford,1740.0,-0.0,-17
36,Arkansas,1740.0,-0.2,+10
37,Oklahoma State,1735.0,-0.2,-15
38,LSU,1731.0,-0.0,+59
39,NC State,1731.0,-0.0,+0
40,St. John's (NY),1730.0,-0.2,+0
41,UNLV,1726.0,-0.2,+0
42,Kentucky,1722.0,-0.0,-14
43,Washington State,1722.0,-0.1,+0
44,Penn State,1719.0,-0.0,+0
45,Nebraska,1719.0,-0.2,+8
46,Texas A&M,1715.0,-0.0,+0
47,Ole Miss,1715.0,-0.0,-9
48,Michigan,1715.0,-0.0,-49
49,Louisville,1715.0,-0.2,+118
50,Xavier,1711.0,,+6
