Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,2025.0,-1.1,+46
2,UConn,1997.0,-1.8,-35
3,Creighton,1952.0,-0.3,+58
4,Gonzaga,1944.0,-0.5,+17
5,Tennessee,1932.0,-0.7,+38
6,UNC,1913.0,-0.5,+38
7,Kansas,1899.0,-0.2,+38
8,Duke,1894.0,-0.1,-14
9,Oklahoma,1892.0,-0.2,+33
10,Auburn,1887.0,-0.2,-24
11,Arizona,1883.0,-0.2,+19
12,Texas,1879.0,-0.8,-25
13,Ohio State,1858.0,-0.2,-22
14,Iowa State,1852.0,-0.1,+41
15,UCLA,1850.0,-0.0,+7
16,Marquette,1850.0,-0.1,+15
17,LSU,1848.0,-0.1,-35
18,Alabama,1846.0,-0.3,-72
19,UNLV,1839.0,-0.4,+36
20,USC,1830.0,-0.1,+49
21,Baylor,1828.0,-0.0,-14
22,Nebraska,1828.0,-0.3,+40
23,Ole Miss,1820.0,-0.0,+13
24,Michigan State,1819.0,-0.1,+0
25,NC State,1817.0,-0.1,-28
26,Colorado,1815.0,-0.1,+12
27,Houston,1812.0,-0.0,-11
28,Mississippi State,1811.0,-0.1,+12
29,Kentucky,1809.0,-0.1,+99
30,Indiana,1806.0,-0.0,-28
31,Virginia,1805.0,-0.0,-25
32,Illinois,1804.0,-0.2,+25
33,Florida,1800.0,-0.0,+0
34,Iowa,1800.0,-0.2,-44
35,Kansas State,1796.0,-0.2,+21
36,TCU,1791.0,-0.1,+39
37,Virginia Tech,1788.0,-0.2,-42
38,Princeton,1782.0,-0.4,-10
39,Purdue,1773.0,-0.4,+5
40,Notre Dame,1763.0,-0.2,+20
41,Villanova,1757.0,-0.1,-10
42,Texas A&M,1754.0,-0.2,-41
43,Washington State,1748.0,-0.1,-60
44,Maryland,1746.0,-0.0,+1
45,Syracuse,1745.0,-0.0,+48
46,Florida State,1744.0,-0.2,+0
47,West Virginia,1739.0,-0.2,-5
48,Wake Forest,1735.0,-0.2,+92
49,Drake,1731.0,-0.1,-20
50,BYU,1728.0,,-23
