Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,1993.0,-1.3,+6
2,Gonzaga,1960.0,-0.5,+6
3,Houston,1948.0,-0.0,+0
4,Purdue,1948.0,-0.3,+3
5,UCLA,1941.0,-2.1,+11
6,Tennessee,1886.0,-0.8,-36
7,UConn,1865.0,-0.1,+0
8,Boise State,1862.0,-0.6,+10
9,Alabama,1847.0,-0.3,+18
10,Marquette,1840.0,-0.7,+0
11,Memphis,1822.0,-0.1,+0
12,Illinois,1820.0,-0.2,+41
13,Saint Mary's,1816.0,-0.0,+19
14,Iowa State,1816.0,-0.0,+30
15,UNC,1815.0,-0.2,-6
16,Auburn,1811.0,-0.0,+20
17,Providence,1811.0,-0.0,-17
18,Duke,1811.0,-0.1,-21
19,Virginia,1808.0,-0.2,+21
20,Arkansas,1803.0,-0.0,-46
21,TCU,1802.0,-0.0,+17
22,Baylor,1801.0,-0.2,+14
23,Arizona,1796.0,-0.1,-42
24,Iowa,1794.0,-0.2,+12
25,Texas,1789.0,-0.0,+7
26,Xavier,1789.0,-0.1,+0
27,Miami (FL),1787.0,-0.0,-11
28,Kentucky,1786.0,-0.0,+2
29,Texas A&M,1785.0,-0.1,+22
30,Arizona State,1782.0,-0.2,+33
31,Oklahoma,1777.0,-0.4,+1
32,Rutgers,1766.0,-0.1,+0
33,San Diego State,1763.0,-0.0,-36
34,Wisconsin,1762.0,-0.0,-49
35,Michigan State,1761.0,-0.0,+9
36,Virginia Tech,1761.0,-0.2,+0
37,Indiana,1757.0,-0.1,+27
38,Kansas State,1755.0,-0.0,-6
39,Texas Tech,1755.0,-0.2,-40
40,Creighton,1751.0,-0.2,+17
41,USC,1746.0,-0.0,+24
42,Ohio State,1745.0,-0.0,-34
43,Clemson,1745.0,-0.4,+21
44,Michigan,1735.0,-0.1,-12
45,Mississippi State,1733.0,-0.0,-9
46,North Texas,1732.0,-0.2,-12
47,Dayton,1728.0,-0.3,+10
48,Kent State,1720.0,-0.1,+18
49,Colorado,1717.0,-0.0,-19
50,NC State,1716.0,,+11
