Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2011.0,-0.1,+52
2,Tennessee,2008.0,-0.4,+39
3,Duke,1999.0,-0.5,-31
4,UCLA,1987.0,-0.5,+7
5,Alabama,1975.0,-0.1,-20
6,Louisville,1973.0,-0.7,+57
7,Texas,1956.0,-0.2,-32
8,Maryland,1952.0,-0.2,+86
9,Florida,1948.0,-0.0,+77
10,Michigan State,1947.0,-1.2,-5
11,South Carolina,1915.0,-0.4,-2
12,Auburn,1904.0,-0.2,-24
13,Michigan,1900.0,-0.0,-29
14,Kentucky,1899.0,-0.3,+36
15,Creighton,1892.0,-0.4,-15
16,USC,1882.0,-0.1,+2
17,Kansas State,1879.0,-0.1,-29
18,Ole Miss,1877.0,-0.0,-42
19,Baylor,1876.0,-0.1,-7
20,UNC,1874.0,-0.1,+52
21,Notre Dame,1871.0,-0.2,-47
22,Oklahoma,1867.0,-0.9,+41
23,Indiana,1844.0,-0.0,+29
24,TCU,1844.0,-0.0,-18
25,LSU,1844.0,-0.2,+18
26,Mississippi State,1839.0,-0.2,-6
27,Utah,1835.0,-0.4,-6
28,Missouri,1825.0,-0.0,-39
29,Clemson,1824.0,-0.2,+43
30,St. John's (NY),1818.0,-0.1,+37
31,Oregon,1816.0,-0.2,+39
32,Iowa State,1812.0,-0.0,-27
33,Texas Tech,1811.0,-0.2,-7
34,NC State,1806.0,-0.0,+6
35,Arizona,1806.0,-0.0,+34
36,Grand Canyon,1806.0,-0.0,+8
37,Illinois,1805.0,-0.0,-82
38,Ohio State,1805.0,-0.1,-103
39,West Virginia,1802.0,-0.0,-1
40,Gonzaga,1801.0,-0.0,-32
41,Wisconsin,1801.0,-0.1,+46
42,Iowa,1798.0,-0.2,-46
43,Villanova,1792.0,-0.2,+46
44,Marquette,1788.0,-0.1,-2
45,Minnesota,1785.0,-0.5,-14
46,BYU,1773.0,-0.5,-37
47,Florida State,1760.0,-0.0,+19
48,Nebraska,1759.0,-0.0,-52
49,George Mason,1759.0,-0.1,-102
50,Vanderbilt,1757.0,,+20
