Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Purdue,1969.0,-1.1,+10
2,Houston,1940.0,-0.2,-20
3,Gonzaga,1934.0,-0.1,+4
4,Tennessee,1931.0,-1.0,+13
5,Kansas,1905.0,-0.1,+6
6,UCLA,1903.0,-1.0,-34
7,Marquette,1878.0,-0.6,+9
8,Boise State,1862.0,-0.0,+8
9,Arizona,1862.0,-0.4,+30
10,Baylor,1853.0,-0.1,+22
11,TCU,1851.0,-0.2,-9
12,Memphis,1846.0,-0.2,+16
13,Virginia,1842.0,-0.2,+4
14,UNC,1837.0,-0.0,+10
15,Saint Mary's,1837.0,-0.1,+5
16,Alabama,1834.0,-0.0,-43
17,Indiana,1834.0,-0.4,+33
18,Texas A&M,1824.0,-0.1,+49
19,Creighton,1821.0,-0.0,+43
20,Duke,1821.0,-0.0,+3
21,Illinois,1820.0,-0.4,+34
22,Providence,1811.0,-0.4,+8
23,Kentucky,1802.0,-0.0,-4
24,UConn,1802.0,-0.1,-8
25,Texas,1800.0,-0.1,+5
26,San Diego State,1797.0,-0.1,+15
27,Arkansas,1795.0,-0.1,+4
28,USC,1793.0,-0.2,+34
29,Kansas State,1788.0,-0.0,+6
30,Miami (FL),1788.0,-0.1,+2
31,Iowa State,1786.0,-0.1,-33
32,Auburn,1784.0,-0.0,-56
33,Xavier,1784.0,-0.4,-3
34,Rutgers,1775.0,-0.2,+19
35,Oklahoma,1771.0,-0.1,+31
36,Iowa,1768.0,-0.0,-8
37,Michigan State,1767.0,-0.0,-8
38,Virginia Tech,1767.0,-0.7,+25
39,Florida Atlantic,1750.0,-0.2,+16
40,Clemson,1744.0,-0.1,+11
41,West Virginia,1741.0,-0.1,+51
42,Oklahoma State,1738.0,-0.2,-5
43,NC State,1734.0,-0.4,+15
44,Ohio State,1724.0,-0.0,-25
45,Seton Hall,1724.0,-0.0,+28
46,Michigan,1723.0,-0.0,-5
47,Mississippi State,1722.0,-0.0,+21
48,Maryland,1721.0,-0.1,+38
49,North Texas,1719.0,-0.2,+6
50,Villanova,1714.0,,+0
