Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2140.0,-1.4,+54
2,Duke,2104.0,-3.4,-25
3,South Carolina,2017.0,-0.9,-2
4,Florida,1993.0,-1.5,+22
5,Alabama,1955.0,-0.2,+0
6,Texas,1951.0,-0.0,-24
7,Maryland,1951.0,-0.0,+0
8,Oklahoma,1951.0,-0.1,+0
9,UCLA,1949.0,-0.3,-28
10,Tennessee,1941.0,-0.5,+0
11,Auburn,1927.0,-0.9,-14
12,Houston,1903.0,-0.0,+18
13,UNC,1902.0,-0.1,+0
14,USC,1900.0,-0.6,-5
15,TCU,1884.0,-0.1,+0
16,Michigan State,1882.0,-0.0,+0
17,Louisville,1881.0,-0.1,+0
18,Kentucky,1878.0,-0.2,+0
19,Ole Miss,1874.0,-0.2,+0
20,Baylor,1869.0,-0.3,+0
21,Oregon,1862.0,-0.1,+0
22,Texas Tech,1860.0,-0.0,+0
23,Michigan,1860.0,-0.1,+0
24,Indiana,1857.0,-0.0,+0
25,LSU,1857.0,-0.0,+0
26,St. John's (NY),1857.0,-0.1,+0
27,Notre Dame,1854.0,-0.1,+0
28,NC State,1852.0,-0.1,+0
29,Iowa,1849.0,-0.2,+0
30,Gonzaga,1843.0,-0.1,+0
31,Creighton,1840.0,-0.1,+0
32,Iowa State,1838.0,-0.4,+0
33,Illinois,1827.0,-0.3,+0
34,Ohio State,1820.0,-0.5,+0
35,Mississippi State,1808.0,-0.1,+0
36,West Virginia,1806.0,-0.1,+0
37,Wisconsin,1804.0,-0.1,+0
38,Arizona,1801.0,-0.1,+0
39,Clemson,1799.0,-0.2,+0
40,Nebraska,1795.0,-0.2,+44
41,Villanova,1791.0,-0.0,+25
42,Grand Canyon,1791.0,-0.1,+0
43,Minnesota,1788.0,-0.0,+22
44,Vanderbilt,1787.0,-0.4,+0
45,BYU,1778.0,-0.0,+0
46,Georgia,1778.0,-0.1,+0
47,Arkansas,1776.0,-0.1,+0
48,Kansas State,1774.0,-0.5,+0
49,Liberty,1761.0,-0.0,+0
50,Colorado State,1760.0,,+0
