Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Marquette,1933.0,-0.2,+59
2,UConn,1929.0,-0.1,-6
3,South Carolina,1926.0,-1.1,-19
4,Texas,1898.0,-0.9,-7
5,UCLA,1876.0,-0.3,-21
6,Kansas State,1869.0,-0.0,+54
7,Gonzaga,1869.0,-0.2,+3
8,Ohio State,1865.0,-0.4,+6
9,Baylor,1856.0,-0.7,+25
10,Kansas,1838.0,-0.0,-17
11,Creighton,1838.0,-0.1,+54
12,NC State,1836.0,-0.2,+9
13,Houston,1831.0,-0.0,+20
14,Miami (FL),1830.0,-0.1,+6
15,Purdue,1827.0,-0.2,+64
16,Arizona,1822.0,-0.6,+41
17,UNC,1807.0,-0.0,-2
18,Texas A&M,1807.0,-0.0,+44
19,Oklahoma,1806.0,-0.4,-15
20,Indiana,1796.0,-0.2,-46
21,Utah,1792.0,-0.0,+42
22,Virginia,1792.0,-0.2,+13
23,Colorado,1787.0,-0.0,+8
24,Auburn,1787.0,-0.1,+42
25,Alabama,1785.0,-0.2,+1
26,Ole Miss,1781.0,-0.1,+2
27,Iowa,1779.0,-0.2,-90
28,Washington State,1774.0,-0.4,+15
29,Villanova,1763.0,-0.1,-7
30,Colorado State,1761.0,-0.0,-5
31,USC,1760.0,-0.1,+11
32,Iowa State,1758.0,-0.0,+56
33,Washington,1757.0,-0.0,+37
34,TCU,1756.0,-0.0,-17
35,Clemson,1755.0,-0.0,+107
36,Princeton,1754.0,-0.0,-11
37,UNLV,1753.0,-0.0,+7
38,Stanford,1753.0,-0.2,-10
39,Michigan State,1749.0,-0.0,-42
40,Nebraska,1749.0,-0.1,-41
41,LSU,1747.0,-0.0,-19
42,Syracuse,1746.0,-0.0,+36
43,Texas Tech,1745.0,-0.1,+6
44,Wisconsin,1742.0,-0.0,-33
45,Tennessee,1741.0,-0.0,-12
46,Arkansas,1741.0,-0.1,-3
47,Duke,1739.0,-0.1,-23
48,BYU,1736.0,-0.2,+21
49,Maryland,1731.0,-0.2,+31
50,Mississippi State,1727.0,,-43
