Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Duke,2151.0,-3.0,+44
2,UConn,2074.0,-1.3,+19
3,Florida,2040.0,-1.7,+56
4,South Carolina,1997.0,-0.1,+27
5,Tennessee,1994.0,-1.1,+3
6,UCLA,1966.0,-0.4,+30
7,Texas,1957.0,-0.1,+48
8,Alabama,1955.0,-0.2,-3
9,Maryland,1951.0,-0.0,-25
10,Oklahoma,1951.0,-0.9,+9
11,Auburn,1927.0,-0.4,+22
12,USC,1918.0,-0.6,+54
13,UNC,1902.0,-0.0,+9
14,TCU,1902.0,-0.2,+53
15,Michigan State,1896.0,-0.6,-59
16,Louisville,1881.0,-0.1,-34
17,Kentucky,1878.0,-0.2,-11
18,Ole Miss,1874.0,-0.2,+6
19,Baylor,1869.0,-0.0,-29
20,LSU,1868.0,-0.2,+57
21,Oregon,1862.0,-0.1,-24
22,Texas Tech,1860.0,-0.0,+1
23,Michigan,1860.0,-0.1,-69
24,Indiana,1857.0,-0.0,-15
25,St. John's (NY),1857.0,-0.1,+0
26,Notre Dame,1854.0,-0.1,+28
27,NC State,1852.0,-0.1,+59
28,Iowa,1849.0,-0.2,-35
29,Gonzaga,1843.0,-0.1,-13
30,Creighton,1840.0,-0.1,+0
31,Iowa State,1838.0,-0.2,-24
32,Houston,1833.0,-0.2,+7
33,Illinois,1827.0,-0.3,-41
34,Ohio State,1820.0,-0.5,-13
35,Mississippi State,1808.0,-0.1,-45
36,West Virginia,1806.0,-0.1,-17
37,Wisconsin,1804.0,-0.1,+0
38,Arizona,1801.0,-0.1,+15
39,Clemson,1799.0,-0.3,+0
40,Villanova,1791.0,-0.0,+17
41,Grand Canyon,1791.0,-0.2,+0
42,Vanderbilt,1787.0,-0.4,+0
43,BYU,1778.0,-0.0,-18
44,Georgia,1778.0,-0.1,+0
45,Arkansas,1776.0,-0.1,-7
46,Kansas State,1774.0,-0.2,+4
47,Colorado,1768.0,-0.3,-15
48,Liberty,1761.0,-0.0,+0
49,Colorado State,1760.0,-0.2,-3
50,Florida State,1754.0,,-38
