Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,South Carolina,1998.0,-0.4,+16
2,Tennessee,1987.0,-0.6,+9
3,Auburn,1972.0,-1.6,+49
4,Duke,1932.0,-0.2,+20
5,UConn,1928.0,-0.3,-16
6,UCLA,1920.0,-0.5,+25
7,Michigan State,1906.0,-0.1,+6
8,Texas,1903.0,-0.0,+4
9,Alabama,1903.0,-0.1,+16
10,Oklahoma,1900.0,-0.4,+12
11,Iowa State,1891.0,-0.1,+12
12,Iowa,1889.0,-0.3,-8
13,UNC,1881.0,-0.0,+11
14,LSU,1880.0,-0.2,-41
15,Kentucky,1876.0,-0.4,+44
16,St. John's (NY),1867.0,-0.9,+21
17,Kansas State,1843.0,-0.0,+57
18,Mississippi State,1842.0,-0.1,+8
19,West Virginia,1839.0,-0.2,+3
20,Creighton,1835.0,-0.1,-12
21,Florida State,1833.0,-0.2,+13
22,Illinois,1829.0,-0.0,-8
23,Baylor,1829.0,-0.0,+29
24,Vanderbilt,1828.0,-0.1,+19
25,Ole Miss,1826.0,-0.1,+8
26,Kansas,1824.0,-0.1,+1
27,Maryland,1822.0,-0.0,-21
28,USC,1822.0,-0.1,+9
29,Nebraska,1820.0,-0.1,+55
30,Ohio State,1818.0,-0.1,+6
31,Colorado,1816.0,-0.1,+16
32,Florida,1814.0,-0.0,+19
33,Michigan,1814.0,-0.0,-6
34,Marquette,1813.0,-0.2,-33
35,Notre Dame,1807.0,-0.0,+67
36,Oregon,1806.0,-0.2,-7
37,NC State,1801.0,-0.0,-22
38,Utah,1800.0,-0.4,+22
39,Penn State,1790.0,-0.4,-11
40,Texas Tech,1779.0,-0.3,-45
41,Indiana,1772.0,-0.2,-14
42,San Diego State,1767.0,-0.1,+4
43,Wisconsin,1764.0,-0.3,+15
44,California,1757.0,-0.0,-8
45,BYU,1756.0,-0.2,+54
46,George Mason,1750.0,-0.1,+16
47,Texas A&M,1747.0,-0.3,-6
48,Stanford,1739.0,-0.3,-40
49,Drake,1732.0,-0.0,+3
50,Clemson,1731.0,,-23
