Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,1955.0,-1.2,+15
2,South Carolina,1923.0,-0.7,+13
3,Houston,1905.0,-0.4,+11
4,UCLA,1896.0,-0.0,+9
5,Marquette,1895.0,-0.3,+42
6,Texas,1888.0,-0.1,+35
7,Gonzaga,1886.0,-1.0,+45
8,Miami (FL),1860.0,-0.2,+21
9,NC State,1854.0,-0.1,+56
10,Ohio State,1852.0,-0.3,+89
11,Virginia Tech,1845.0,-0.1,+59
12,Iowa,1843.0,-0.5,+34
13,Kansas,1831.0,-0.2,-27
14,Alabama,1825.0,-0.1,-26
15,Villanova,1822.0,-0.1,+67
16,Arizona,1820.0,-0.0,-8
17,Kansas State,1819.0,-0.1,+43
18,Oklahoma,1816.0,-0.0,+3
19,Indiana,1815.0,-0.1,+60
20,UNC,1813.0,-0.1,+2
21,Baylor,1811.0,-0.0,+32
22,Mississippi State,1811.0,-0.8,+23
23,Tennessee,1791.0,-0.2,-32
24,LSU,1787.0,-0.0,+26
25,Duke,1787.0,-0.3,-2
26,BYU,1780.0,-0.0,+74
27,Purdue,1779.0,-0.1,+2
28,Colorado,1777.0,-0.0,+5
29,Michigan State,1776.0,-0.2,-5
30,Ole Miss,1771.0,-0.1,+55
31,Creighton,1768.0,-0.1,+24
32,Texas A&M,1766.0,-0.3,+21
33,TCU,1758.0,-0.0,+41
34,Texas Tech,1757.0,-0.1,+33
35,San Diego State,1754.0,-0.1,+27
36,Princeton,1752.0,-0.1,+53
37,West Virginia,1749.0,-0.0,-0
38,USC,1749.0,-0.2,+38
39,Nebraska,1745.0,-0.4,-19
40,Washington State,1735.0,-0.4,+13
41,Colorado State,1724.0,-0.0,+67
42,James Madison,1723.0,-0.0,+14
43,Wisconsin,1722.0,-0.4,+31
44,North Texas,1713.0,-0.2,+31
45,Memphis,1709.0,-0.1,-9
46,Notre Dame,1707.0,-0.0,+30
47,Penn State,1707.0,-0.0,-63
48,Arkansas,1706.0,-0.2,-19
49,Virginia,1702.0,-0.1,-34
50,Santa Clara,1700.0,,-1
