Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2017.0,-3.2,+31
2,Kansas State,1935.0,-0.3,+19
3,South Carolina,1928.0,-0.3,-46
4,UNC,1921.0,-0.5,+25
5,Iowa,1909.0,-0.1,+96
6,Alabama,1907.0,-0.9,+106
7,NC State,1885.0,-0.2,-11
8,Texas,1881.0,-0.3,-16
9,Tennessee,1874.0,-0.0,+11
10,Iowa State,1873.0,-0.0,+59
11,Baylor,1872.0,-0.2,-62
12,Gonzaga,1867.0,-0.6,-5
13,Auburn,1851.0,-0.1,-7
14,LSU,1848.0,-0.0,+16
15,Arizona,1847.0,-0.0,-35
16,Kansas,1846.0,-0.2,+64
17,Creighton,1842.0,-0.2,+35
18,Duke,1837.0,-0.4,+26
19,Ole Miss,1828.0,-0.2,+33
20,Ohio State,1824.0,-0.1,-16
21,Stanford,1822.0,-0.1,+36
22,Colorado,1820.0,-0.1,+25
23,Marquette,1818.0,-0.2,-10
24,Utah,1812.0,-0.1,+47
25,Princeton,1810.0,-0.1,+10
26,Indiana,1807.0,-0.3,-35
27,Villanova,1800.0,-0.1,+24
28,Nebraska,1797.0,-0.1,-8
29,UNLV,1794.0,-0.1,+3
30,Florida State,1792.0,-0.0,+84
31,Mississippi State,1791.0,-0.1,+4
32,Purdue,1789.0,-0.0,-56
33,Virginia Tech,1788.0,-0.2,+52
34,Houston,1782.0,-0.3,+15
35,Oklahoma,1775.0,-0.0,-26
36,Washington State,1775.0,-0.1,+26
37,Texas A&M,1772.0,-0.1,+17
38,Maryland,1769.0,-0.3,-22
39,Syracuse,1762.0,-0.4,+16
40,Texas Tech,1753.0,-0.2,-28
41,Michigan State,1749.0,-0.1,-62
42,West Virginia,1746.0,-0.2,+19
43,Drake,1740.0,-0.0,-18
44,Grand Canyon,1740.0,-0.0,+19
45,Notre Dame,1739.0,-0.0,+39
46,UCLA,1738.0,-0.1,-47
47,Miami (FL),1736.0,-0.0,-15
48,Minnesota,1735.0,-0.3,+17
49,USC,1727.0,-0.0,-16
50,TCU,1726.0,,+3
