Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2074.0,-3.1,+37
2,South Carolina,1994.0,-0.1,-62
3,Iowa State,1992.0,-0.8,+90
4,Auburn,1972.0,-0.5,+84
5,Gonzaga,1960.0,-1.4,+4
6,Texas,1924.0,-0.5,-13
7,UNC,1911.0,-0.4,-4
8,Duke,1901.0,-0.1,-22
9,Tennessee,1899.0,-0.6,-55
10,LSU,1883.0,-0.2,-52
11,USC,1877.0,-0.1,-17
12,Nebraska,1875.0,-0.2,-4
13,NC State,1870.0,-0.0,+76
14,Iowa,1869.0,-0.4,-62
15,Houston,1860.0,-0.0,+13
16,Baylor,1859.0,-0.0,-5
17,Creighton,1859.0,-0.2,-85
18,Arizona,1854.0,-0.0,-4
19,Ohio State,1853.0,-0.1,+19
20,UNLV,1851.0,-0.6,-4
21,Texas A&M,1836.0,-0.2,+18
22,Illinois,1832.0,-0.0,+93
23,Marquette,1831.0,-0.2,-4
24,Colorado,1827.0,-0.4,-4
25,Florida,1817.0,-0.4,+56
26,Drake,1808.0,-0.1,+30
27,UCLA,1805.0,-0.3,-8
28,Notre Dame,1798.0,-0.0,-31
29,Oklahoma,1797.0,-0.0,-46
30,Mississippi State,1796.0,-0.0,+88
31,Kansas State,1795.0,-0.0,-6
32,Alabama,1795.0,-0.0,-32
33,Michigan State,1794.0,-0.1,-19
34,Indiana,1792.0,-0.1,-13
35,Purdue,1790.0,-0.2,+11
36,Kansas,1784.0,-0.0,-50
37,Virginia,1784.0,-0.2,-6
38,Kentucky,1779.0,-0.2,-18
39,Ole Miss,1774.0,-0.1,-18
40,Penn State,1771.0,-0.1,+33
41,Princeton,1769.0,-0.3,-30
42,Washington,1762.0,-0.2,-9
43,BYU,1757.0,-0.0,-14
44,Virginia Tech,1756.0,-0.0,-27
45,St. John's (NY),1755.0,-0.0,+27
46,Washington State,1754.0,-0.2,+23
47,Texas Tech,1749.0,-0.1,+7
48,Stanford,1747.0,-0.3,-37
49,TCU,1739.0,-0.1,+5
50,Utah,1737.0,,+1
