Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2037.0,-1.7,+6
2,Baylor,1993.0,-2.2,+2
3,Arizona,1937.0,-0.4,+43
4,Kentucky,1927.0,-0.3,+13
5,Villanova,1919.0,-0.2,+15
6,Houston,1913.0,-0.0,-22
7,Auburn,1912.0,-0.1,+18
8,Kansas,1910.0,-0.3,-22
9,Purdue,1902.0,-0.2,-7
10,Tennessee,1898.0,-0.2,+12
11,Illinois,1894.0,-0.1,+10
12,Iowa,1892.0,-0.0,+16
13,Duke,1891.0,-0.2,-48
14,Arkansas,1885.0,-0.1,-7
15,Texas Tech,1882.0,-0.1,-10
16,UCLA,1880.0,-1.0,+10
17,Wisconsin,1855.0,-0.5,-16
18,Saint Mary's,1841.0,-0.1,+5
19,Memphis,1839.0,-0.3,+35
20,UConn,1832.0,-0.4,-6
21,Texas,1823.0,-0.2,-9
22,Providence,1818.0,-0.1,-5
23,UNC,1815.0,-0.0,+55
24,San Diego State,1815.0,-0.0,+6
25,USC,1814.0,-0.0,-48
26,Michigan,1813.0,-0.4,+14
27,Loyola (IL),1804.0,-0.5,+52
28,Boise State,1790.0,-0.4,-7
29,Oklahoma State,1781.0,-0.2,+46
30,Seton Hall,1777.0,-0.1,+21
31,Rutgers,1775.0,-0.4,+16
32,Colorado State,1766.0,-0.0,+10
33,Dayton,1766.0,-0.1,+23
34,LSU,1764.0,-0.0,+6
35,Murray State,1764.0,-0.0,+10
36,Notre Dame,1763.0,-0.0,-12
37,North Texas,1763.0,-0.0,-17
38,Marquette,1762.0,-0.0,-20
39,Davidson,1762.0,-0.0,-7
40,SMU,1761.0,-0.2,+10
41,Miami (FL),1757.0,-0.0,+23
42,VCU,1756.0,-0.0,+9
43,Ohio State,1755.0,-0.0,-59
44,Alabama,1755.0,-0.0,-75
45,San Francisco,1755.0,-0.2,+18
46,Michigan State,1749.0,-0.0,-20
47,Oklahoma,1749.0,-0.2,+31
48,Toledo,1744.0,-0.2,+37
49,Colorado,1740.0,-0.0,+15
50,Virginia,1740.0,,+13
