Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,1960.0,-0.0,+12
2,Purdue,1959.0,-0.9,+11
3,UCLA,1937.0,-0.3,-4
4,Gonzaga,1930.0,-0.5,-30
5,Tennessee,1918.0,-0.8,+32
6,Kansas,1898.0,-0.9,-95
7,Alabama,1876.0,-0.3,+30
8,Marquette,1869.0,-0.4,+29
9,TCU,1860.0,-0.2,+58
10,Boise State,1855.0,-0.5,-7
11,Auburn,1841.0,-0.1,+30
12,Virginia,1838.0,-0.2,+30
13,Saint Mary's,1832.0,-0.0,+16
14,Arizona,1832.0,-0.0,+35
15,Baylor,1831.0,-0.0,+30
16,Memphis,1830.0,-0.1,+8
17,UNC,1827.0,-0.3,+12
18,Iowa State,1819.0,-0.0,+3
19,Duke,1818.0,-0.4,+7
20,UConn,1809.0,-0.1,-55
21,Kentucky,1806.0,-0.1,+20
22,Providence,1803.0,-0.1,-8
23,Indiana,1801.0,-0.2,+45
24,Texas,1795.0,-0.2,+6
25,Arkansas,1791.0,-0.2,-12
26,Xavier,1787.0,-0.0,-2
27,Illinois,1786.0,-0.0,-34
28,Miami (FL),1786.0,-0.1,-1
29,Kansas State,1783.0,-0.0,+27
30,San Diego State,1782.0,-0.2,+19
31,Creighton,1778.0,-0.1,+27
32,Iowa,1776.0,-0.0,-17
33,Michigan State,1775.0,-0.0,+13
34,Texas A&M,1775.0,-0.3,-9
35,Wisconsin,1768.0,-0.4,+7
36,USC,1758.0,-0.1,+13
37,Rutgers,1756.0,-0.2,-10
38,Ohio State,1750.0,-0.3,+5
39,Oklahoma State,1743.0,-0.0,+38
40,Virginia Tech,1742.0,-0.1,-19
41,Oklahoma,1740.0,-0.1,-37
42,Arizona State,1737.0,-0.1,-45
43,Florida Atlantic,1734.0,-0.0,+38
44,Clemson,1733.0,-0.1,-11
45,College of Charleston,1731.0,-0.0,+17
46,Kent State,1731.0,-0.2,+11
47,Michigan,1727.0,-0.0,-8
48,St. John's (NY),1726.0,-0.1,+15
49,Texas Tech,1723.0,-0.1,-33
50,VCU,1720.0,,+38
