Michigan,+2.5,Saint Johns,20231113,160430
Villanova,-11.5,Pennsylvania,20231113,160430
FIU,+23,Miami FL,20231113,160430
FGCU,+9,Pittsburgh,20231113,160430
ETSU,+17,Butler,20231113,160430
Central Michigan,+20.5,Florida State,20231113,160430
Quinnipiac,+7.5,Massachusetts,20231113,160430
Stony Brook,+13.5,Duquesne,20231113,160430
The Citadel,+3.5,Presbyterian,20231113,160430
Siena,+5,American,20231113,160430
North Florida,-5,South Carolina State,20231113,160430
Western Carolina,+4.5,Middle Tennessee,20231113,160430
Arkansas-Pine Bluff,-1.5,Central Arkansas,20231113,160430
SFA,-13,Northwestern State,20231113,160430
Stetson,+32.5,Houston,20231113,160430
Southern University,+31,Arizona,20231113,160430
South Dakota State,+10.5,Kansas State,20231113,160430
Rider,+14,Nebraska,20231113,160430
Oral Roberts,+6,Missouri State,20231113,160430
SIUE,+18.5,Missouri,20231113,160430
Xavier,+17.5,Purdue,20231113,160430
UC Santa Barbara,+3,UTEP,20231113,160430
CSU Bakersfield,+12.5,California,20231113,160430
LIU,+17.5,Pepperdine,20231113,160430
