Cleveland State,-6.5,Northern Colorado,20240324,160424
Colorado,+5,Marquette,20240324,160424
Presbyterian,+7.5,Montana,20240324,160424
Minnesota,+7.5,Indiana State,20240324,160424
Utah State,+11.5,Purdue,20240324,160424
Little Rock,-2,Fairfield,20240324,160424
Georgia,+9,Wake Forest,20240324,160424
James Madison,+7,Duke,20240324,160424
Evansville,+4,Quinnipiac,20240324,160424
Clemson,+4,Baylor,20240324,160424
Grand Canyon,+6.5,Alabama,20240324,160424
VCU,+3.5,South Florida,20240324,160424
Northwestern,+13.5,UConn,20240324,160424
Texas A&M,+9,Houston,20240324,160424
Iowa,+5,Utah,20240324,160424
Boston College,+3.5,UNLV,20240324,160424
Yale,+5.5,San Diego State,20240324,160424
Purdue Fort Wayne,+5.5,Tarleton State,20240324,160424
Illinois,+2,Iowa State,20240324,160424
Creighton,+2,Tennessee,20240324,160424
