Utah,+19.5,Houston,20250122,160520
Furman,-7,VMI,20250122,160520
Army,-1,Holy Cross,20250122,160520
Robert Morris,+1.5,Youngstown State,20250122,160520
Kansas,-6,TCU,20250122,160520
Florida,-11.5,South Carolina,20250122,160520
Xavier,+7.5,Saint Johns,20250122,160520
Syracuse,+14.5,Clemson,20250122,160520
The Citadel,+15.5,Wofford,20250122,160520
Virginia Tech,+5.5,Georgia Tech,20250122,160520
Detroit Mercy,+14.5,Cleveland State,20250122,160520
Mercer,+8.5,UNC Greensboro,20250122,160520
Western Carolina,+14.5,ETSU,20250122,160520
High Point,-15,USC Upstate,20250122,160520
James Madison,-4.5,Old Dominion,20250122,160520
Coastal Carolina,+5.5,Georgia Southern,20250122,160520
Milwaukee,+1.5,Wright State,20250122,160520
South Florida,-2,Charlotte,20250122,160520
George Washington,+1,UMass,20250122,160520
Purdue Fort Wayne,+1,Oakland,20250122,160520
Lehigh,+6.5,American,20250122,160520
IU Indianapolis,-1.5,Green Bay,20250122,160520
Longwood,+2,Radford,20250122,160520
UNC Asheville,+1,Gardner-Webb,20250122,160520
Lafayette,+2,Loyola Maryland,20250122,160520
Boston University,+1,Navy,20250122,160520
Valparaiso,+14,Drake,20250122,160520
Charleston Southern,+2,Presbyterian,20250122,160520
La Salle,+10.5,Saint Louis,20250122,160520
Temple,+9.5,North Texas,20250122,160520
Boise State,+1,Colorado State,20250122,160520
Texas A&M,+3,Ole Miss,20250122,160520
Kansas State,+13,Baylor,20250122,160520
Georgia,+1,Arkansas,20250122,160520
USC,+6,Nebraska,20250122,160520
Nevada,+7,Utah State,20250122,160520
Florida State,-1.5,California,20250122,160520
San Diego State,-13.5,Air Force,20250122,160520
Miami FL,+11,Stanford,20250122,160520
