Wisconsin,-1.5,Rutgers,20250106,160523
South Florida,+8.5,Wichita State,20250106,160523
Arkansas-Pine Bluff,+14,Alabama State,20250106,160523
UT Rio Grande Valley,-2.5,SE Louisiana,20250106,160523
Houston Christian,+8.5,Stephen F. Austin,20250106,160523
McNeese,-11.5,Northwestern State,20250106,160523
A&M-Corpus Christi,-9.5,New Orleans,20250106,160523
Nicholls State,-5,East Texas A&M,20250106,160523
NC Central,-3.5,Morgan State,20250106,160523
South Carolina State,-11,Coppin State,20250106,160523
Mississippi Valley,+17.5,Alabama A&M,20250106,160523
Howard,-6,MD Eastern Shore,20250106,160523
Incarnate Word,+3,Lamar,20250106,160523
Southern University,-4.5,Prairie View,20250106,160523
Ohio State,-6,Minnesota,20250106,160523
TCU,+19,Houston,20250106,160523
Grambling,+4,Texas Southern,20250106,160523
