Georgetown,+15,Villanova,20240227,160433
Kentucky,+3.5,Mississippi State,20240227,160433
Cincinnati,+13.5,Houston,20240227,160433
Davidson,+10,Dayton,20240227,160433
Wisconsin,-4,Indiana,20240227,160433
Pittsburgh,+7,Clemson,20240227,160433
Georgia,+5.5,LSU,20240227,160433
Virginia Tech,+1.5,Syracuse,20240227,160433
Buffalo,+14.5,Kent State,20240227,160433
Massachusetts,-7.5,George Washington,20240227,160433
George Mason,-2,Fordham,20240227,160433
Miami OH,+3.5,Bowling Green,20240227,160433
Ball State,+4,Central Michigan,20240227,160433
Akron,+1,Ohio,20240227,160433
Western Michigan,-2.5,Eastern Michigan,20240227,160433
BYU,+6.5,Kansas,20240227,160433
Valparaiso,+15.5,UNI,20240227,160433
ULM,+5,Texas State,20240227,160433
Penn State,+9,Iowa,20240227,160433
Wake Forest,-6.5,Notre Dame,20240227,160433
Texas,+3.5,Texas Tech,20240227,160433
Boise State,-9.5,Air Force,20240227,160433
Vanderbilt,+10.5,Arkansas,20240227,160433
UNLV,-5,Wyoming,20240227,160433
North Carolina State,+2.5,Florida State,20240227,160433
Utah State,-11.5,Fresno State,20240227,160433
Nevada,+7.5,Colorado State,20240227,160433
San Jose State,+21.5,San Diego State,20240227,160433
