Kent State,-4,Buffalo,20230210,160439
Xavier,-7,Butler,20230210,160439
Iona,-13,Canisius,20230210,160439
Robert Morris,+6.5,Cleveland State,20230210,160439
Youngstown State,-4,Purdue Fort Wayne,20230210,160439
Siena,-4,Mount Saint Marys,20230210,160439
Fairfield,+4.5,Rider,20230210,160439
Marist,+3.5,Saint Peters,20230210,160439
Quinnipiac,-1.5,Niagara,20230210,160439
Akron,-1.5,Ohio,20230210,160439
Saint Louis,+5,Dayton,20230210,160439
New Mexico,-6.5,Air Force,20230210,160439
Northern Kentucky,+2.5,Wright State,20230210,160439
Fresno State,+9,Nevada,20230210,160439
