Robert Morris,+7.5,Delaware,20241107,160512
North Carolina A&T,+26,Wake Forest,20241107,160512
MD Eastern Shore,+18.5,Pennsylvania,20241107,160512
Charleston Southern,+8,North Florida,20241107,160512
Stony Brook,+6,Central Michigan,20241107,160512
Southern Miss,+14,UAB,20241107,160512
Jacksonville,+24.5,Florida,20241107,160512
Montana State,+17.5,Wisconsin,20241107,160512
Florida A&M,+30.5,SMU,20241107,160512
Southern University,+28,Iowa,20241107,160512
Niagara,+28.5,Michigan State,20241107,160512
Milwaukee,+6.5,Northern Iowa,20241107,160512
Bucknell,-3,Southern Indiana,20241107,160512
Omaha,+5,Stetson,20241107,160512
Jacksonville State,+2.5,Air Force,20241107,160512
Idaho State,+23,USC,20241107,160512
Chattanooga,+15.5,Saint Marys,20241107,160512
Cal Poly,+15,California,20241107,160512
Central Arkansas,+29,Utah,20241107,160512
UC Davis,-2.5,Idaho,20241107,160512
North Carolina,+7,Kansas,20241107,160512
