Louisville,+3.5,Indiana,20241127,160523
Morgan State,+7.5,UMBC,20241127,160523
Detroit Mercy,+18,Rhode Island,20241127,160523
Eastern Kentucky,+7,Louisiana Tech,20241127,160523
SE Louisiana,+1,North Dakota,20241127,160523
Northern Kentucky,+6.5,Charleston,20241127,160523
UTSA,+1,Merrimack,20241127,160523
Stony Brook,+8.5,Brown,20241127,160523
Western Michigan,+9.5,Youngstown State,20241127,160523
ETSU,+2.5,Charlotte,20241127,160523
Presbyterian,-2,Tennessee Tech,20241127,160523
New Orleans,+37,Baylor,20241127,160523
Bryant,+6,Chattanooga,20241127,160523
West Virginia,+14.5,Gonzaga,20241127,160523
Tulsa,-3.5,Georgia State,20241127,160523
Colorado,+13,Iowa State,20241127,160523
Gardner-Webb,-3.5,Bethune-Cookman,20241127,160523
Oregon,-3.5,San Diego State,20241127,160523
Canisius,+12.5,Robert Morris,20241127,160523
UT Martin,+39,Tennessee,20241127,160523
Northern Illinois,+9.5,Valparaiso,20241127,160523
Appalachian State,+6.5,Sam Houston,20241127,160523
UMass,-4,Harvard,20241127,160523
Sacramento State,+7.5,Air Force,20241127,160523
NJIT,+8,Morehead State,20241127,160523
West Georgia,+8,North Dakota State,20241127,160523
Bucknell,+25,Maryland,20241127,160523
Oklahoma,-2.5,Providence,20241127,160523
Memphis,+9.5,Auburn,20241127,160523
UT Arlington,-3.5,Austin Peay,20241127,160523
Tulane,-1,Belmont,20241127,160523
Incarnate Word,-1.5,Western Illinois,20241127,160523
Texas A&M,-3.5,Creighton,20241127,160523
South Dakota,+23,Nebraska,20241127,160523
Cornell,+9.5,Syracuse,20241127,160523
Rider,+17.5,Villanova,20241127,160523
Milwaukee,+13,UCF,20241127,160523
South Carolina State,+10.5,Marshall,20241127,160523
Colgate,+8.5,UNC Wilmington,20241127,160523
Alabama State,+28.5,Cincinnati,20241127,160523
Davidson,+16,Arizona,20241127,160523
Charleston Southern,+19.5,Georgia Tech,20241127,160523
Utah Valley,+4,Samford,20241127,160523
UNC Greensboro,-1,UTEP,20241127,160523
UMass Lowell,+10.5,Saint Louis,20241127,160523
MD Eastern Shore,+18,Little Rock,20241127,160523
Northern Arizona,-4,Houston Christian,20241127,160523
Xavier,+1,Michigan,20241127,160523
Wyoming,+3.5,Loyola Marymount,20241127,160523
Stonehill,+34.5,Marquette,20241127,160523
CSUN,+1,Montana,20241127,160523
Michigan State,+5,North Carolina,20241127,160523
SMU,-5,Washington State,20241127,160523
Mercyhurst,+23,California,20241127,160523
Rutgers,+10.5,Alabama,20241127,160523
Arkansas-Pine Bluff,+17.5,Pacific,20241127,160523
Long Beach State,+6,San Jose State,20241127,160523
UConn,-6.5,Dayton,20241127,160523
California Baptist,-6.5,Fresno State,20241127,160523
Notre Dame,+17,Houston,20241127,160523
