Idaho,+3,Sacramento State,20220309,162305
Syracuse,+2.5,Florida State,20220309,162305
Saint Josephs,-2.5,La Salle,20220309,162305
Idaho State,+4.5,Portland State,20220309,162305
New Mexico,+6.5,Nevada,20220309,162305
Boston College,+9.5,Wake Forest,20220309,162305
Stanford,+4.5,Arizona State,20220309,162305
Jackson State,+3.5,Texas Southern,20220309,162305
Duquesne,+9.5,Rhode Island,20220309,162305
Butler,+6.5,Xavier,20220309,162305
Air Force,+14.5,Utah State,20220309,162305
Northern Arizona,+7.5,Eastern Washington,20220309,162305
Oregon State,+8.5,Oregon,20220309,162305
Nebraska,+4.5,Northwestern,20220309,162305
Delaware State,+16.5,Norfolk State,20220309,162305
Ole Miss,-4,Missouri,20220309,162305
UIW,+4.5,Houston Baptist,20220309,162305
Rice,+2.5,Charlotte,20220309,162305
DePaul,+4.5,Saint Johns,20220309,162305
San Jose State,+14,Fresno State,20220309,162305
Binghamton,+21.5,Vermont,20220309,162305
West Virginia,+1.5,Kansas State,20220309,162305
Clemson,+4.5,Virginia Tech,20220309,162305
Marshall,+7.5,Louisiana Tech,20220309,162305
Hartford,+4.5,UMBC,20220309,162305
Navy,+7,Colgate,20220309,162305
Georgia,+8.5,Vanderbilt,20220309,162305
Minnesota,+3.5,Penn State,20220309,162305
Coppin State,+6,Howard,20220309,162305
McNeese,-2,Northwestern State,20220309,162305
California,+7.5,Washington State,20220309,162305
Old Dominion,+1.5,UTEP,20220309,162305
California Baptist,+3.5,Sam Houston,20220309,162305
Louisville,+6,Virginia,20220309,162305
Southern Mississippi,+13,Florida Atlantic,20220309,162305
Prairie View,+1,Alcorn,20220309,162305
Utah,+2,Washington,20220309,162305
Utah Valley,+3,Abilene Christian,20220309,162305
