North Dakota State,+4.5,UC Davis,20231114,160441
Wisconsin,-1.5,Providence,20231114,160441
Wofford,+31.5,Tennessee,20231114,160441
Bucknell,+11.5,La Salle,20231114,160441
Duke,-4,Michigan State,20231114,160441
Jacksonville State,+7.5,West Virginia,20231114,160441
Toledo,+2.5,Wright State,20231114,160441
Hofstra,+1.5,George Washington,20231114,160441
IUPUI,+17.5,Indiana State,20231114,160441
Bowling Green,+2.5,Oakland,20231114,160441
Colgate,+6.5,Syracuse,20231114,160441
Northeastern,+4,Harvard,20231114,160441
Mercer,+5,Morehead State,20231114,160441
Mississippi Valley,+45.5,UConn,20231114,160441
Eastern Michigan,+27,Florida Atlantic,20231114,160441
Florida A&M,+34,Florida,20231114,160441
Temple,+3.5,Drexel,20231114,160441
Saint Francis PA,+30,Penn State,20231114,160441
Bellarmine,+4.5,Chattanooga,20231114,160441
Brown,-6.5,New Hampshire,20231114,160441
Wagner,+9.5,Rhode Island,20231114,160441
Sacred Heart,+1,Holy Cross,20231114,160441
Georgia Southern,+6.5,Jacksonville,20231114,160441
High Point,+3,Queens NC,20231114,160441
Stonehill,+19,Saint Josephs,20231114,160441
Lipscomb,-2.5,Tennessee Tech,20231114,160441
UMass Lowell,+4.5,Georgia Tech,20231114,160441
North Alabama,+19,Mississippi State,20231114,160441
Boston University,+10.5,Howard,20231114,160441
Marquette,+1.5,Illinois,20231114,160441
Texas A&M,-6,SMU,20231114,160441
Texas State,+16,Oklahoma,20231114,160441
UIC,+11.5,Loyola Chicago,20231114,160441
Colorado State,-11.5,Northern Colorado,20231114,160441
South Alabama,+21.5,Alabama,20231114,160441
Tarleton State,+9.5,Bradley,20231114,160441
UNC Greensboro,+1,Vanderbilt,20231114,160441
Western Kentucky,+1.5,Murray State,20231114,160441
Green Bay,+3,Valparaiso,20231114,160441
UTRGV,+29,TCU,20231114,160441
Western Michigan,+23,Northwestern,20231114,160441
Detroit Mercy,+23.5,Ole Miss,20231114,160441
CSUN,+2,Chicago State,20231114,160441
Alcorn,+10,Arkansas State,20231114,160441
UTSA,+1,Lamar,20231114,160441
Prairie View,+17,Abilene Christian,20231114,160441
Santa Clara,+9.5,Stanford,20231114,160441
South Dakota,+8.5,DePaul,20231114,160441
Southern Utah,+15.5,Utah State,20231114,160441
Milwaukee,+18.5,Colorado,20231114,160441
Kentucky,+7,Kansas,20231114,160441
Iowa,+12,Creighton,20231114,160441
Long Beach State,+13,San Diego State,20231114,160441
Kansas City,+27,Baylor,20231114,160441
Appalachian State,+2.5,Oregon State,20231114,160441
Jackson State,+16.5,LMU,20231114,160441
UC Irvine,+12.5,USC,20231114,160441
