Albany NY,+21,Seton Hall,20231115,160436
Princeton,+6,Duquesne,20231115,160436
Coppin State,+17,Louisville,20231115,160436
USC Upstate,+13.5,East Carolina,20231115,160436
Canisius,+9,Cleveland State,20231115,160436
Utah Valley,+6.5,Charlotte,20231115,160436
Delaware,-9,Delaware State,20231115,160436
Central Michigan,+17,South Florida,20231115,160436
Denver,+1.5,Nicholls State,20231115,160436
Binghamton,+3,Loyola Maryland,20231115,160436
Saint Peters,-1.5,Fairleigh Dickinson,20231115,160436
Merrimack,+24,Ohio State,20231115,160436
Evansville,+3,Southeast Missouri State,20231115,160436
Stony Brook,+16.5,Nebraska,20231115,160436
FIU,-13.5,Houston Christian,20231115,160436
Eastern Illinois,+12.5,Illinois State,20231115,160436
Georgetown,+10,Rutgers,20231115,160436
Tennessee State,+10.5,Portland,20231115,160436
Rice,+20,Texas,20231115,160436
Southeastern Louisiana,+23,BYU,20231115,160436
Pacific,+13,Nevada,20231115,160436
Northern Arizona,+13.5,Seattle,20231115,160436
LIU,+34.5,UCLA,20231115,160436
Morgan State,+18.5,Fresno State,20231115,160436
