Minnesota,+2,Wichita State,20241128,160533
Louisville,-3.5,West Virginia,20241128,160533
Rhode Island,-7.5,UT Arlington,20241128,160533
Florida,-7,Wake Forest,20241128,160533
Indiana,+9.5,Gonzaga,20241128,160533
Purdue,-7,NC State,20241128,160533
North Dakota State,+6,Utah Valley,20241128,160533
TCU,-3.5,Santa Clara,20241128,160533
Oklahoma,+6.5,Arizona,20241128,160533
Ole Miss,+3,BYU,20241128,160533
Utah State,-5.5,Saint Bonaventure,20241128,160533
Washington,-2,Colorado State,20241128,160533
Kennesaw State,+10.5,UC Irvine,20241128,160533
Providence,-5,Davidson,20241128,160533
Northern Iowa,+3.5,North Texas,20241128,160533
USC,+4.5,Saint Marys,20241128,160533
UNLV,+7.5,Mississippi State,20241128,160533
Kent State,-1.5,Towson,20241128,160533
New Mexico,-4,Arizona State,20241128,160533
