Drake,-7,UNCW,20220321,162747
Northern Colorado,+1,UNC Asheville,20220321,162747
Middle Tennessee,-4.5,Boston University,20220321,162747
FGCU,+3.5,Coastal Carolina,20220321,162747
USC Upstate,+8.5,South Alabama,20220321,162747
Ohio,-1,Abilene Christian,20220321,162747
Southern Utah,+4,UTEP,20220321,162747
Vanderbilt,+3.5,Xavier,20220321,162747
Wake Forest,+2.5,Texas A&M,20220321,162747
Washington State,+3,BYU,20220321,162747
Youngstown State,+13.5,Fresno State,20220321,162747
Arkansas,+8.5,Gonzaga,20220321,162747
Michigan,+4.5,Villanova,20220321,162747
Texas Tech,-1,Duke,20220321,162747
Houston,+1.5,Arizona,20220321,162747
Saint Peters,+12.5,Purdue,20220321,162747
Providence,+7.5,Kansas,20220321,162747
North Carolina,+2,UCLA,20220321,162747
Iowa State,+2.5,Miami FL,20220321,162747
