Cincinnati,-3.5,Villanova,20241203,160540
Delaware State,+13,Delaware,20241203,160540
Arkansas,-5,Miami FL,20241203,160540
Notre Dame,+9,Georgia,20241203,160540
California,+9,Missouri,20241203,160540
Princeton,+5.5,Saint Josephs,20241203,160540
South Carolina,-4.5,Boston College,20241203,160540
Western Michigan,+24,Dayton,20241203,160540
Northern Kentucky,+6,Akron,20241203,160540
Stetson,+14.5,South Florida,20241203,160540
UNC Wilmington,+6.5,East Carolina,20241203,160540
North Carolina A&T,+5,Hampton,20241203,160540
ETSU,+3.5,James Madison,20241203,160540
Santa Clara,+6.5,McNeese,20241203,160540
Saint Peters,+4.5,Duquesne,20241203,160540
UNC Asheville,+14,George Mason,20241203,160540
Brown,+5.5,Vermont,20241203,160540
La Salle,+1.5,Northeastern,20241203,160540
Presbyterian,-4.5,Florida A&M,20241203,160540
Lipscomb,+1,Chattanooga,20241203,160540
Army,-1.5,Le Moyne,20241203,160540
Dartmouth,-3.5,New Hampshire,20241203,160540
Winthrop,-5,Queens NC,20241203,160540
High Point,-1.5,UNC Greensboro,20241203,160540
Syracuse,+18.5,Tennessee,20241203,160540
Sam Houston,+13.5,Indiana,20241203,160540
UT Martin,+6,Charleston Southern,20241203,160540
Alabama State,+22,SMU,20241203,160540
Evansville,+13.5,Murray State,20241203,160540
BYU,-6,Providence,20241203,160540
Michigan,+3.5,Wisconsin,20241203,160540
Ole Miss,+3,Louisville,20241203,160540
Wake Forest,+8,Texas A&M,20241203,160540
Georgia Tech,+12,Oklahoma,20241203,160540
Florida State,+4.5,LSU,20241203,160540
San Diego,+20,Arizona State,20241203,160540
Hawaii,+15,Grand Canyon,20241203,160540
Utah Tech,+23.5,Boise State,20241203,160540
Kentucky,-1,Clemson,20241203,160540
UTSA,+23.5,Saint Marys,20241203,160540
Utah Valley,+11,Stanford,20241203,160540
Washington,+11.5,UCLA,20241203,160540
