Florida,+2,South Carolina,20240302,160433
Villanova,+2.5,Providence,20240302,160433
Butler,-11.5,DePaul,20240302,160433
Holy Cross,+9,Boston University,20240302,160433
Tulane,+14.5,Florida Atlantic,20240302,160433
Florida State,-3.5,Georgia Tech,20240302,160433
Colgate,-3.5,Lehigh,20240302,160433
Fordham,+8,Saint Josephs,20240302,160433
Kansas,+5.5,Baylor,20240302,160433
Illinois,+3,Wisconsin,20240302,160433
Stonehill,+13.5,Central Connecticut State,20240302,160433
Tulsa,+6,Temple,20240302,160433
Miami OH,-5,Eastern Michigan,20240302,160433
Monmouth,-2,Elon,20240302,160433
Arkansas,+13,Kentucky,20240302,160433
Oregon,+14,Arizona,20240302,160433
Oklahoma State,+10,Texas,20240302,160433
Mercer,+9.5,Furman,20240302,160433
South Dakota,+9,North Dakota,20240302,160433
Toledo,-10.5,Buffalo,20240302,160433
Hofstra,+6,Charleston,20240302,160433
Navy,+7.5,American,20240302,160433
George Washington,+5.5,La Salle,20240302,160433
Towson,+3.5,UNCW,20240302,160433
Charleston Southern,+7,Presbyterian,20240302,160433
Western Carolina,+4.5,Chattanooga,20240302,160433
Western Michigan,+6.5,Ball State,20240302,160433
Gardner-Webb,+5.5,Winthrop,20240302,160433
South Dakota State,-2.5,North Dakota State,20240302,160433
Merrimack,-3,Sacred Heart,20240302,160433
New Hampshire,+4,Binghamton,20240302,160433
Marquette,+6,Creighton,20240302,160433
Massachusetts,-1,Davidson,20240302,160433
UTSA,+17,SMU,20240302,160433
The Citadel,+13.5,Samford,20240302,160433
UMass Lowell,+7.5,Vermont,20240302,160433
Penn State,+6,Minnesota,20240302,160433
Central Michigan,+10,Kent State,20240302,160433
LSU,-3.5,Vanderbilt,20240302,160433
Bethune-Cookman,+7,Southern University,20240302,160433
Lindenwood,+21,Morehead State,20240302,160433
North Carolina State,+10.5,North Carolina,20240302,160433
Mississippi State,+9.5,Auburn,20240302,160433
Iowa State,-4,UCF,20240302,160433
South Florida,+3.5,Charlotte,20240302,160433
Northeastern,+9,Drexel,20240302,160433
Wyoming,+15.5,Colorado State,20240302,160433
Tennessee Tech,+13.5,Little Rock,20240302,160433
Northern Arizona,+12.5,Weber State,20240302,160433
North Carolina A&T,+10,Campbell,20240302,160433
NJIT,+13,Bryant,20240302,160433
USC,+4.5,Washington,20240302,160433
North Carolina Central,-8,Coppin State,20240302,160433
UNC Greensboro,-1.5,ETSU,20240302,160433
Saint Louis,+2,Rhode Island,20240302,160433
Delaware,+1.5,Stony Brook,20240302,160433
Maine,-1,Albany NY,20240302,160433
UT Arlington,+2,Utah Valley,20240302,160433
Le Moyne,-5.5,Saint Francis PA,20240302,160433
Howard,-5,UMES,20240302,160433
Lamar,-3.5,Northwestern State,20240302,160433
Southeastern Louisiana,+8,A&M-Corpus Christi,20240302,160433
Tennessee State,+6.5,UT Martin,20240302,160433
SIUE,+3.5,Western Illinois,20240302,160433
Fairleigh Dickinson,+3.5,Wagner,20240302,160433
Texas A&M-Commerce,-1.5,Houston Christian,20240302,160433
South Carolina State,-1.5,Morgan State,20240302,160433
Florida A&M,+9.5,Grambling,20240302,160433
New Mexico State,+8.5,Jacksonville State,20240302,160433
Nicholls State,+18.5,McNeese,20240302,160433
Montana State,+10.5,Eastern Washington,20240302,160433
Montana,-5.5,Idaho,20240302,160433
Portland State,-1,Sacramento State,20240302,160433
Army West Point,-1,Loyola Maryland,20240302,160433
Alabama State,-2,Alabama A&M,20240302,160433
Iowa,+2.5,Northwestern,20240302,160433
Texas Tech,-2.5,West Virginia,20240302,160433
Detroit Mercy,+16,Oakland,20240302,160433
Northern Illinois,+16,Akron,20240302,160433
IUPUI,+17,Cleveland State,20240302,160433
Texas A&M,-1,Georgia,20240302,160433
Pittsburgh,-1,Boston College,20240302,160433
Green Bay,+5.5,Milwaukee,20240302,160433
Western Kentucky,-4,FIU,20240302,160433
New Orleans,+3.5,UIW,20240302,160433
Jackson State,+5.5,Texas Southern,20240302,160433
Dartmouth,+11,Brown,20240302,160433
Mississippi Valley,+12,Arkansas-Pine Bluff,20240302,160433
Alcorn,-4,Prairie View,20240302,160433
UCLA,+6,Washington State,20240302,160433
Kansas State,+6.5,Cincinnati,20240302,160433
Robert Morris,+11,Purdue Fort Wayne,20240302,160433
Rice,+5.5,Wichita State,20240302,160433
San Francisco,-3,Santa Clara,20240302,160433
Northern Kentucky,+7,Wright State,20240302,160433
Lafayette,+3.5,Bucknell,20240302,160433
Harvard,+10.5,Yale,20240302,160433
Cornell,+5,Princeton,20240302,160433
Columbia,+3.5,Pennsylvania,20240302,160433
Xavier,-7,Georgetown,20240302,160433
Clemson,-6,Notre Dame,20240302,160433
Tennessee,+3.5,Alabama,20240302,160433
Michigan State,+10.5,Purdue,20240302,160433
Houston,-6,Oklahoma,20240302,160433
Syracuse,-5,Louisville,20240302,160433
Denver,+8.5,Saint Thomas MN,20240302,160433
Middle Tennessee,+8.5,Sam Houston,20240302,160433
UTRGV,+12.5,California Baptist,20240302,160433
New Mexico,+3.5,Boise State,20240302,160433
Hawaii,+1.5,UC Riverside,20240302,160433
LMU,-3.5,Portland,20240302,160433
UC San Diego,-4.5,CSUN,20240302,160433
Northern Colorado,+2,Idaho State,20240302,160433
Ole Miss,-1,Missouri,20240302,160433
Tarleton State,-4,Southern Utah,20240302,160433
Southeast Missouri State,+7,Southern Indiana,20240302,160433
California,+9,Utah,20240302,160433
TCU,+7,BYU,20240302,160433
Abilene Christian,-2,Utah Tech,20240302,160433
UC Santa Barbara,-2,Cal State Fullerton,20240302,160433
Gonzaga,+2.5,Saint Marys,20240302,160433
San Jose State,+13.5,UNLV,20240302,160433
Long Beach State,+8.5,UC Irvine,20240302,160433
