Western Illinois,+4,North Dakota,20230223,160459
Penn State,+2.5,Ohio State,20230223,160459
Stony Brook,+10,UNCW,20230223,160459
Towson,+9,Charleston,20230223,160459
Memphis,-2,Wichita State,20230223,160459
North Texas,-2.5,Charlotte,20230223,160459
Northeastern,+6.5,Drexel,20230223,160459
Northern Kentucky,-1,Detroit Mercy,20230223,160459
Wright State,-3,Oakland,20230223,160459
Delaware,-2.5,North Carolina A&T,20230223,160459
Monmouth,+2.5,Hampton,20230223,160459
UTEP,-1.5,FIU,20230223,160459
Elon,-1,William & Mary,20230223,160459
Saint Francis Brooklyn,+6.5,Sacred Heart,20230223,160459
UTSA,+17.5,Florida Atlantic,20230223,160459
Stonehill,+3,Wagner,20230223,160459
Central Connecticut State,+3.5,Merrimack,20230223,160459
Longwood,+2,Gardner-Webb,20230223,160459
Fairleigh Dickinson,-2.5,Saint Francis PA,20230223,160459
Rice,+12,UAB,20230223,160459
Robert Morris,-10.5,IUPUI,20230223,160459
California Baptist,+6,Sam Houston,20230223,160459
Utah Tech,-2.5,UTRGV,20230223,160459
Kansas City,+10.5,South Dakota State,20230223,160459
Oral Roberts,-13.5,South Dakota,20230223,160459
Utah Valley,-3,Tarleton State,20230223,160459
Southern Utah,-5,UT Arlington,20230223,160459
Saint Thomas MN,+3.5,North Dakota State,20230223,160459
Nicholls State,-5.5,New Orleans,20230223,160459
Southeastern Louisiana,-7,Lamar,20230223,160459
McNeese,pk,Houston Christian,20230223,160459
Michigan,+5.5,Rutgers,20230223,160459
Little Rock,+8,SIUE,20230223,160459
Tennessee Tech,+5.5,Southern Indiana,20230223,160459
Purdue Fort Wayne,+2.5,Milwaukee,20230223,160459
Northwestern State,-6.5,UIW,20230223,160459
Texas A&M-Commerce,+11,A&M-Corpus Christi,20230223,160459
Northwestern,+6,Illinois,20230223,160459
Sacramento State,+9.5,Montana State,20230223,160459
Washington,-8,California,20230223,160459
USC,+2.5,Colorado,20230223,160459
Portland State,+6,Montana,20230223,160459
Eastern Washington,-1,Weber State,20230223,160459
Tennessee State,+4.5,UT Martin,20230223,160459
Idaho,+3.5,Idaho State,20230223,160459
Louisiana Tech,+4.5,Western Kentucky,20230223,160459
Southeast Missouri State,-4,Lindenwood,20230223,160459
Cleveland State,-13.5,Green Bay,20230223,160459
Pepperdine,+11,Santa Clara,20230223,160459
UC San Diego,+13.5,UC Irvine,20230223,160459
Long Beach State,+5,UC Santa Barbara,20230223,160459
CSU Bakersfield,+1,CSUN,20230223,160459
Pacific,+19,Saint Marys,20230223,160459
UCLA,-7,Utah,20230223,160459
Portland,+7.5,San Francisco,20230223,160459
Washington State,+2,Stanford,20230223,160459
San Diego,+23,Gonzaga,20230223,160459
UC Riverside,+3.5,Hawaii,20230223,160459
