Chattanooga,+3.5,UC Irvine,20250402,160557
Florida,-2.5,Auburn,20250402,160557
Houston,+5.5,Duke,20250402,160557
Florida,+4.5,Duke,20250402,160557
Duke,-5.5,Auburn,20250402,160557
Florida,-1.5,Houston,20250402,160557
Houston,-1,Auburn,20250402,160557
