Green Bay,-8,IUPUI,20240110,160448
Loyola Maryland,+4,Army West Point,20240110,160448
Northwestern,-1.5,Penn State,20240110,160448
Providence,+7.5,Saint Johns,20240110,160448
Purdue Fort Wayne,+3.5,Youngstown State,20240110,160448
Kansas,-7.5,UCF,20240110,160448
Saint Josephs,-4,Saint Louis,20240110,160448
East Carolina,+1,Temple,20240110,160448
Tulsa,+7.5,Charlotte,20240110,160448
Tennessee,-2,Mississippi State,20240110,160448
La Salle,+9.5,Massachusetts,20240110,160448
Louisville,+16.5,Miami FL,20240110,160448
Clemson,-2,Virginia Tech,20240110,160448
Bucknell,+5.5,Lehigh,20240110,160448
Lafayette,+12.5,Colgate,20240110,160448
The Citadel,+11.5,Furman,20240110,160448
Charleston Southern,+12,Gardner-Webb,20240110,160448
Western Carolina,-1,ETSU,20240110,160448
Stetson,+4,Kennesaw State,20240110,160448
Winthrop,-5,Presbyterian,20240110,160448
Georgia Southern,+11.5,Marshall,20240110,160448
Wright State,-5,Robert Morris,20240110,160448
UNC Asheville,+6,High Point,20240110,160448
FGCU,+1.5,Queens NC,20240110,160448
Navy,-3.5,Holy Cross,20240110,160448
American,+1,Boston University,20240110,160448
Northern Kentucky,+6,Oakland,20240110,160448
Mercer,+4.5,Wofford,20240110,160448
Jacksonville State,+11,Liberty,20240110,160448
Illinois State,+6,Belmont,20240110,160448
Western Kentucky,+2.5,Sam Houston,20240110,160448
Indiana State,+2,Drake,20240110,160448
UTSA,+19,Memphis,20240110,160448
North Carolina,-3.5,North Carolina State,20240110,160448
Evansville,+13,Bradley,20240110,160448
Murray State,+5,Missouri State,20240110,160448
UIC,+8.5,UNI,20240110,160448
Southern Illinois,-10,Valparaiso,20240110,160448
Wisconsin,+1.5,Ohio State,20240110,160448
UConn,-5,Xavier,20240110,160448
Louisiana-Lafayette,+2.5,Troy,20240110,160448
Butler,+12,Marquette,20240110,160448
Arkansas,+2,Georgia,20240110,160448
Florida,-2.5,Ole Miss,20240110,160448
Boston College,+4,Syracuse,20240110,160448
Oklahoma,+4.5,TCU,20240110,160448
Washington State,+7,USC,20240110,160448
Colorado,-4,California,20240110,160448
