Kent State,-6.5,Toledo,20240314,160459
Saint Josephs,+5.5,Richmond,20240314,160459
Florida State,+9.5,North Carolina,20240314,160459
Xavier,+15,UConn,20240314,160459
Minnesota,+7,Michigan State,20240314,160459
BYU,-3,Texas Tech,20240314,160459
Tulsa,+3,East Carolina,20240314,160459
Mississippi State,-5,LSU,20240314,160459
Bowling Green,-3.5,Central Michigan,20240314,160459
VCU,-1,Massachusetts,20240314,160459
Wichita State,+8.5,Memphis,20240314,160459
Maryland,+4.5,Wisconsin,20240314,160459
Saint Johns,-4,Seton Hall,20240314,160459
Wake Forest,-2,Pittsburgh,20240314,160459
USC,+9,Arizona,20240314,160459
TCU,+11,Houston,20240314,160459
Fresno State,+12.5,Utah State,20240314,160459
Jackson State,+3,Texas Southern,20240314,160459
Arkansas,+6,South Carolina,20240314,160459
Miami OH,+8,Akron,20240314,160459
Saint Bonaventure,+2.5,Loyola Chicago,20240314,160459
San Diego State,-4.5,UNLV,20240314,160459
UCLA,+3.5,Oregon,20240314,160459
Morgan State,+5,Howard,20240314,160459
Ohio State,-2,Iowa,20240314,160459
Western Michigan,+9,Ohio,20240314,160459
UTEP,+3.5,Liberty,20240314,160459
Niagara,+1.5,Marist,20240314,160459
Kansas State,+7.5,Iowa State,20240314,160459
Providence,+8,Creighton,20240314,160459
North Carolina State,+11.5,Duke,20240314,160459
Ole Miss,+4.5,Texas A&M,20240314,160459
Tulane,+5.5,North Texas,20240314,160459
Duquesne,+6.5,Dayton,20240314,160459
Delaware State,+2,South Carolina State,20240314,160459
Stanford,+8,Washington State,20240314,160459
Penn State,-1.5,Indiana,20240314,160459
CSUN,+5.5,Hawaii,20240314,160459
California Baptist,+6.5,Seattle,20240314,160459
Colorado State,+2.5,Nevada,20240314,160459
New Mexico State,+6,Western Kentucky,20240314,160459
Temple,+12,SMU,20240314,160459
Cincinnati,+6.5,Baylor,20240314,160459
Villanova,+4,Marquette,20240314,160459
Georgia,+8,Florida,20240314,160459
Boston College,+5,Virginia,20240314,160459
Bethune-Cookman,+4.5,Southern University,20240314,160459
Utah,+3.5,Colorado,20240314,160459
UC Riverside,+3,Long Beach State,20240314,160459
SFA,+2,UT Arlington,20240314,160459
New Mexico,+1,Boise State,20240314,160459
