Butler,+6,Villanova,20240220,160442
Tennessee,-12,Missouri,20240220,160442
Iowa,+9.5,Michigan State,20240220,160442
Syracuse,+6.5,North Carolina State,20240220,160442
Arkansas,+10.5,Texas A&M,20240220,160442
Boston College,+3.5,Florida State,20240220,160442
Saint Louis,+9,Duquesne,20240220,160442
Fordham,+6.5,Davidson,20240220,160442
VCU,+3,Massachusetts,20240220,160442
UCF,-2,West Virginia,20240220,160442
Akron,+2,Toledo,20240220,160442
Bowling Green,+1.5,Central Michigan,20240220,160442
Kent State,+3.5,Ohio,20240220,160442
Miami OH,-3,Western Michigan,20240220,160442
Eastern Michigan,+2.5,Buffalo,20240220,160442
Ball State,+1,Northern Illinois,20240220,160442
UConn,-3,Creighton,20240220,160442
Baylor,+4,BYU,20240220,160442
San Diego State,+2.5,Utah State,20240220,160442
TCU,+5,Texas Tech,20240220,160442
Maryland,+7,Wisconsin,20240220,160442
Pittsburgh,+6.5,Wake Forest,20240220,160442
San Jose State,+15.5,Boise State,20240220,160442
San Francisco,+7,Saint Marys,20240220,160442
Wyoming,+14.5,Nevada,20240220,160442
