Maine,+11,UMass Lowell,20230105,160503
Coastal Carolina,+5.5,Appalachian State,20230105,160503
Queens NC,+1,Bellarmine,20230105,160503
Purdue,+1.5,Ohio State,20230105,160503
Texas State,+12,James Madison,20230105,160503
Green Bay,+17.5,Purdue Fort Wayne,20230105,160503
SMU,+20,Houston,20230105,160503
Hofstra,-10.5,Hampton,20230105,160503
Robert Morris,+7.5,Youngstown State,20230105,160503
Drexel,+7,Towson,20230105,160503
UAB,+2,Florida Atlantic,20230105,160503
Jacksonville State,+15.5,Liberty,20230105,160503
Charlotte,-5,FIU,20230105,160503
Marshall,-7.5,Georgia Southern,20230105,160503
Old Dominion,+5,Troy,20230105,160503
Navy,+8.5,Colgate,20230105,160503
Albany NY,+10,UMBC,20230105,160503
Lafayette,+6,Boston University,20230105,160503
Southern Indiana,+2,Morehead State,20230105,160503
Northeastern,-2.5,William & Mary,20230105,160503
Lehigh,+7.5,Bucknell,20230105,160503
Milwaukee,+5,Cleveland State,20230105,160503
Omaha,+4,Western Illinois,20230105,160503
American,-6,Holy Cross,20230105,160503
LIU,+8.5,Central Connecticut State,20230105,160503
Bryant,+3,Vermont,20230105,160503
Tennessee State,+6.5,SIUE,20230105,160503
Wagner,+1,Stonehill,20230105,160503
Jacksonville,-1,Stetson,20230105,160503
New Hampshire,+2,Binghamton,20230105,160503
Sacred Heart,+3,Merrimack,20230105,160503
Army West Point,-1.5,Loyola Maryland,20230105,160503
Kennesaw State,+1,North Florida,20230105,160503
Grand Canyon,+3,Sam Houston,20230105,160503
Seattle,-6.5,UTRGV,20230105,160503
Georgia State,-4.5,ULM,20230105,160503
Washington State,+4,Arizona State,20230105,160503
Middle Tennessee,-10,UTSA,20230105,160503
Arkansas State,+7,South Alabama,20230105,160503
Louisiana Tech,+2,Rice,20230105,160503
Utah Valley,-6.5,UT Arlington,20230105,160503
Denver,+6.5,Saint Thomas MN,20230105,160503
Southern Mississippi,+3,Louisiana-Lafayette,20230105,160503
South Dakota State,-2.5,North Dakota State,20230105,160503
Montana,-2.5,Northern Arizona,20230105,160503
South Dakota,-3.5,North Dakota,20230105,160503
FGCU,-5,Austin Peay,20230105,160503
Lamar,+7,New Orleans,20230105,160503
Montana State,-2.5,Northern Colorado,20230105,160503
North Alabama,+7.5,Lipscomb,20230105,160503
Southern Utah,-1,Tarleton State,20230105,160503
Eastern Kentucky,-4,Central Arkansas,20230105,160503
Houston Christian,+9.5,Southeastern Louisiana,20230105,160503
Eastern Illinois,+4.5,Tennessee Tech,20230105,160503
Northwestern State,-4,McNeese,20230105,160503
Indiana,+1.5,Iowa,20230105,160503
Oregon,+2.5,Colorado,20230105,160503
Cincinnati,-2.5,Wichita State,20230105,160503
North Texas,-4.5,Western Kentucky,20230105,160503
Sacramento State,-1.5,Idaho,20230105,160503
UC Irvine,-2,UC Davis,20230105,160503
Portland State,+5,Eastern Washington,20230105,160503
Southeast Missouri State,+2.5,UT Martin,20230105,160503
Nicholls State,-4,Texas A&M-Commerce,20230105,160503
USC,+11,UCLA,20230105,160503
Oregon State,+13,Utah,20230105,160503
Pacific,+6,San Diego,20230105,160503
Hawaii,-6.5,UC San Diego,20230105,160503
Santa Clara,-1.5,Pepperdine,20230105,160503
Cal Poly,+1,CSU Bakersfield,20230105,160503
Cal State Fullerton,+5.5,UC Riverside,20230105,160503
Utah Tech,+6,California Baptist,20230105,160503
Long Beach State,-6,CSUN,20230105,160503
Gonzaga,-9.5,San Francisco,20230105,160503
Washington,+18.5,Arizona,20230105,160503
BYU,-1,LMU,20230105,160503
