Morehead State,+5.5,Little Rock,20250109,160514
UNC Greensboro,+3.5,Chattanooga,20250109,160514
Oregon,+4,Ohio State,20250109,160514
Vermont,+6,UMass Lowell,20250109,160514
Binghamton,+7,Maine,20250109,160514
Detroit Mercy,+4.5,IU Indianapolis,20250109,160514
Jacksonville,-7.5,Bellarmine,20250109,160514
Texas State,+7,Troy,20250109,160514
Oakland,+3,Wright State,20250109,160514
Drexel,-6.5,Stony Brook,20250109,160514
Campbell,+5,Hampton,20250109,160514
Delaware,-4,North Carolina A&T,20250109,160514
Albany NY,-11.5,New Hampshire,20250109,160514
Northeastern,+4.5,Towson,20250109,160514
Charleston,+1,Hofstra,20250109,160514
Elon,+2,William & Mary,20250109,160514
James Madison,+1.5,Marshall,20250109,160514
North Alabama,+1,Florida Gulf Coast,20250109,160514
Central Arkansas,+2,Stetson,20250109,160514
North Florida,+3.5,Eastern Kentucky,20250109,160514
FIU,+7.5,Louisiana Tech,20250109,160514
Kennesaw State,+9,Middle Tennessee,20250109,160514
Washington,+14,Michigan State,20250109,160514
VMI,+17,Samford,20250109,160514
North Dakota State,-7,Oral Roberts,20250109,160514
Queens NC,+14,Lipscomb,20250109,160514
ULM,+8.5,Southern Miss,20250109,160514
Grand Canyon,-2,Utah Valley,20250109,160514
West Georgia,+8,Austin Peay,20250109,160514
Jacksonville State,+7,Western Kentucky,20250109,160514
Old Dominion,+4,Louisiana,20250109,160514
Arkansas State,+1,South Alabama,20250109,160514
Tarleton State,+7,Southern Utah,20250109,160514
Southern Indiana,+7.5,SE Missouri State,20250109,160514
UT Martin,+1,Western Illinois,20250109,160514
Tennessee Tech,+2,Eastern Illinois,20250109,160514
Tennessee State,+1.5,Lindenwood,20250109,160514
Cal State Fullerton,+7,UC Davis,20250109,160514
Northern Arizona,+8,Montana,20250109,160514
Northern Colorado,+1,Montana State,20250109,160514
UT Arlington,-4,Utah Tech,20250109,160514
North Dakota,+1,Denver,20250109,160514
Liberty,-3,Sam Houston,20250109,160514
Pacific,+15.5,Washington State,20250109,160514
Portland,+20,San Francisco,20250109,160514
Cal Poly,+14,UC San Diego,20250109,160514
Oregon State,+6.5,Santa Clara,20250109,160514
CSU Bakersfield,+8.5,UC Santa Barbara,20250109,160514
UC Irvine,-3.5,CSUN,20250109,160514
Eastern Washington,+3,Portland State,20250109,160514
Hawaii,+1.5,UC Riverside,20250109,160514
Idaho,-3.5,Sacramento State,20250109,160514
