Delaware,+6.5,Towson,20250310,160516
A&M-Corpus Christi,-3.5,Northwestern State,20250310,160516
Oakland,+3.5,Robert Morris,20250310,160516
Wofford,+1.5,Furman,20250310,160516
Arkansas State,-2.5,Troy,20250310,160516
Montana State,+1.5,Idaho State,20250310,160516
Charleston,+4.5,UNC Wilmington,20250310,160516
Incarnate Word,+3.5,Nicholls State,20250310,160516
Pepperdine,+19.5,Saint Marys,20250310,160516
Youngstown State,+2.5,Cleveland State,20250310,160516
Idaho,+4.5,Portland State,20250310,160516
San Francisco,+14.5,Gonzaga,20250310,160516
