Vermont,-7,Binghamton,20240118,160426
Minnesota,+11,Michigan State,20240118,160426
UNCW,-7,Elon,20240118,160426
Towson,+11,Charleston,20240118,160426
Campbell,+5,William & Mary,20240118,160426
Wichita State,+15,Florida Atlantic,20240118,160426
Green Bay,+9.5,Wright State,20240118,160426
Hampton,+18.5,Hofstra,20240118,160426
Coastal Carolina,+3.5,Georgia Southern,20240118,160426
South Florida,+11,Memphis,20240118,160426
Milwaukee,+2,Northern Kentucky,20240118,160426
Marshall,+1,Old Dominion,20240118,160426
FIU,+13.5,Liberty,20240118,160426
Monmouth,+9,Drexel,20240118,160426
Northeastern,-7,North Carolina A&T,20240118,160426
Stony Brook,+7,Delaware,20240118,160426
UMass Lowell,-3,Albany NY,20240118,160426
Queens NC,+2,Jacksonville,20240118,160426
New Hampshire,-4,NJIT,20240118,160426
Kennesaw State,-3,North Florida,20240118,160426
Maine,-3.5,UMBC,20240118,160426
UNC Asheville,+4,Winthrop,20240118,160426
UT Martin,+9.5,Morehead State,20240118,160426
Seattle,+5.5,SFA,20240118,160426
Omaha,+10,South Dakota State,20240118,160426
Portland State,-5,Northern Arizona,20240118,160426
Denver,+3,North Dakota State,20240118,160426
Sacramento State,+9.5,Northern Colorado,20240118,160426
Troy,+1,South Alabama,20240118,160426
Oral Roberts,-1.5,North Dakota,20240118,160426
ULM,+21,James Madison,20240118,160426
UTRGV,+10.5,UT Arlington,20240118,160426
Saint Thomas MN,-6,South Dakota,20240118,160426
Abilene Christian,+4.5,Tarleton State,20240118,160426
North Alabama,+3.5,Austin Peay,20240118,160426
Central Arkansas,+15,Lipscomb,20240118,160426
Tennessee Tech,+7,Tennessee State,20240118,160426
Little Rock,-3.5,Southern Indiana,20240118,160426
Utah Tech,+4,Southern Utah,20240118,160426
Eastern Washington,+5,Weber State,20240118,160426
Utah Valley,+13,Grand Canyon,20240118,160426
Western Kentucky,+2.5,New Mexico State,20240118,160426
Oregon State,+16,Utah,20240118,160426
Washington,+2.5,California,20240118,160426
Idaho,+5,Idaho State,20240118,160426
Middle Tennessee,+6,UTEP,20240118,160426
UC San Diego,+6.5,UC Irvine,20240118,160426
Santa Clara,-11,Pacific,20240118,160426
UC Davis,-2,Cal State Fullerton,20240118,160426
UC Riverside,-3,CSU Bakersfield,20240118,160426
Gonzaga,-12.5,Pepperdine,20240118,160426
UC Santa Barbara,+1.5,CSUN,20240118,160426
Hawaii,+3,Long Beach State,20240118,160426
San Diego,+4,Portland,20240118,160426
Oregon,+6,Colorado,20240118,160426
Washington State,+3.5,Stanford,20240118,160426
LMU,+10.5,San Francisco,20240118,160426
